Date	AveragePrice	Region	Year	Type
2015-05	0.74	Houston	2015	conventional
2015-04	0.83	Houston	2015	conventional
2015-03	0.87	Houston	2015	conventional
2015-02	0.72	Houston	2015	conventional
2015-01	0.71	Houston	2015	conventional
2015-12	0.92	Indianapolis	2015	conventional
2015-11	1.01	Indianapolis	2015	conventional
2015-10	0.98	Indianapolis	2015	conventional
2015-09	1.11	Indianapolis	2015	conventional
2015-08	1.21	Indianapolis	2015	conventional
2015-07	1.05	Indianapolis	2015	conventional
2015-06	1.28	Indianapolis	2015	conventional
2015-05	1.13	Indianapolis	2015	conventional
2015-04	1.17	Indianapolis	2015	conventional
2015-03	1.13	Indianapolis	2015	conventional
2015-02	0.92	Indianapolis	2015	conventional
2015-01	1.02	Indianapolis	2015	conventional
2015-12	1.19	Jacksonville	2015	conventional
2015-11	0.97	Jacksonville	2015	conventional
2015-10	0.99	Jacksonville	2015	conventional
2015-09	0.98	Jacksonville	2015	conventional
2015-08	1.24	Jacksonville	2015	conventional
2015-07	0.95	Jacksonville	2015	conventional
2015-06	0.98	Jacksonville	2015	conventional
2015-05	0.96	Jacksonville	2015	conventional
2015-04	1.1	Jacksonville	2015	conventional
2015-03	1.01	Jacksonville	2015	conventional
2015-02	0.92	Jacksonville	2015	conventional
2015-01	0.97	Jacksonville	2015	conventional
2015-12	0.89	LasVegas	2015	conventional
2015-11	0.99	LasVegas	2015	conventional
2015-10	0.97	LasVegas	2015	conventional
2015-09	1.02	LasVegas	2015	conventional
2015-08	1.09	LasVegas	2015	conventional
2015-07	1.05	LasVegas	2015	conventional
2015-06	1.02	LasVegas	2015	conventional
2015-05	0.94	LasVegas	2015	conventional
2015-04	0.81	LasVegas	2015	conventional
2015-03	1.05	LasVegas	2015	conventional
2015-02	0.94	LasVegas	2015	conventional
2015-01	0.8	LasVegas	2015	conventional
2015-12	0.66	LosAngeles	2015	conventional
2015-11	0.89	LosAngeles	2015	conventional
2015-10	0.98	LosAngeles	2015	conventional
2015-09	0.92	LosAngeles	2015	conventional
2015-08	1.0	LosAngeles	2015	conventional
2015-07	0.96	LosAngeles	2015	conventional
2015-06	0.84	LosAngeles	2015	conventional
2015-05	0.78	LosAngeles	2015	conventional
2015-04	1.01	LosAngeles	2015	conventional
2015-03	0.75	LosAngeles	2015	conventional
2015-02	0.74	LosAngeles	2015	conventional
2015-01	0.85	LosAngeles	2015	conventional
2015-12	0.83	Louisville	2015	conventional
2015-11	0.89	Louisville	2015	conventional
2015-10	1.11	Louisville	2015	conventional
2015-09	0.98	Louisville	2015	conventional
2015-08	0.93	Louisville	2015	conventional
2015-07	1.15	Louisville	2015	conventional
2015-06	1.01	Louisville	2015	conventional
2015-05	1.03	Louisville	2015	conventional
2015-04	1.08	Louisville	2015	conventional
2015-03	1.02	Louisville	2015	conventional
2015-02	0.9	Louisville	2015	conventional
2015-01	0.92	Louisville	2015	conventional
2015-12	1.25	MiamiFtLauderdale	2015	conventional
2015-11	0.98	MiamiFtLauderdale	2015	conventional
2015-10	0.99	MiamiFtLauderdale	2015	conventional
2015-09	0.98	MiamiFtLauderdale	2015	conventional
2015-08	1.22	MiamiFtLauderdale	2015	conventional
2015-07	0.98	MiamiFtLauderdale	2015	conventional
2015-06	0.99	MiamiFtLauderdale	2015	conventional
2015-05	0.98	MiamiFtLauderdale	2015	conventional
2015-04	1.11	MiamiFtLauderdale	2015	conventional
2015-03	1.01	MiamiFtLauderdale	2015	conventional
2015-02	0.95	MiamiFtLauderdale	2015	conventional
2015-01	0.97	MiamiFtLauderdale	2015	conventional
2015-12	1.0	Midsouth	2015	conventional
2015-11	1.08	Midsouth	2015	conventional
2015-10	1.18	Midsouth	2015	conventional
2015-09	1.08	Midsouth	2015	conventional
2015-08	1.14	Midsouth	2015	conventional
2015-07	1.13	Midsouth	2015	conventional
2015-06	1.14	Midsouth	2015	conventional
2015-05	1.07	Midsouth	2015	conventional
2015-04	1.19	Midsouth	2015	conventional
2015-03	1.14	Midsouth	2015	conventional
2015-02	0.99	Midsouth	2015	conventional
2015-01	1.1	Midsouth	2015	conventional
2015-12	1.0	Nashville	2015	conventional
2015-11	0.94	Nashville	2015	conventional
2015-10	0.96	Nashville	2015	conventional
2015-09	0.97	Nashville	2015	conventional
2015-08	1.08	Nashville	2015	conventional
2015-07	0.97	Nashville	2015	conventional
2015-06	0.96	Nashville	2015	conventional
2015-05	0.98	Nashville	2015	conventional
2015-04	1.06	Nashville	2015	conventional
2015-03	0.99	Nashville	2015	conventional
2015-02	0.94	Nashville	2015	conventional
2015-01	1.0	Nashville	2015	conventional
2015-12	0.94	NewOrleansMobile	2015	conventional
2015-11	0.97	NewOrleansMobile	2015	conventional
2015-10	1.0	NewOrleansMobile	2015	conventional
2015-09	0.99	NewOrleansMobile	2015	conventional
2015-08	1.04	NewOrleansMobile	2015	conventional
2015-07	1.01	NewOrleansMobile	2015	conventional
2015-06	0.99	NewOrleansMobile	2015	conventional
2015-05	0.93	NewOrleansMobile	2015	conventional
2015-04	0.99	NewOrleansMobile	2015	conventional
2015-03	1.08	NewOrleansMobile	2015	conventional
2015-02	0.81	NewOrleansMobile	2015	conventional
2015-01	0.94	NewOrleansMobile	2015	conventional
2015-12	1.2	NewYork	2015	conventional
2015-11	1.06	NewYork	2015	conventional
2015-10	1.26	NewYork	2015	conventional
2015-09	1.22	NewYork	2015	conventional
2015-08	1.14	NewYork	2015	conventional
2015-07	1.18	NewYork	2015	conventional
2015-06	1.32	NewYork	2015	conventional
2015-05	1.32	NewYork	2015	conventional
2015-04	1.41	NewYork	2015	conventional
2015-03	1.18	NewYork	2015	conventional
2015-02	1.36	NewYork	2015	conventional
2015-01	1.09	NewYork	2015	conventional
2015-12	1.14	Northeast	2015	conventional
2015-11	1.09	Northeast	2015	conventional
2015-10	1.21	Northeast	2015	conventional
2015-09	1.18	Northeast	2015	conventional
2015-08	1.19	Northeast	2015	conventional
2015-07	1.24	Northeast	2015	conventional
2015-06	1.27	Northeast	2015	conventional
2015-05	1.24	Northeast	2015	conventional
2015-04	1.34	Northeast	2015	conventional
2015-03	1.15	Northeast	2015	conventional
2015-02	1.23	Northeast	2015	conventional
2015-01	1.09	Northeast	2015	conventional
2015-12	1.11	NorthernNewEngland	2015	conventional
2015-11	1.07	NorthernNewEngland	2015	conventional
2015-10	1.12	NorthernNewEngland	2015	conventional
2015-09	1.01	NorthernNewEngland	2015	conventional
2015-08	1.25	NorthernNewEngland	2015	conventional
2015-07	1.15	NorthernNewEngland	2015	conventional
2015-06	1.17	NorthernNewEngland	2015	conventional
2015-05	1.16	NorthernNewEngland	2015	conventional
2015-04	1.19	NorthernNewEngland	2015	conventional
2015-03	1.05	NorthernNewEngland	2015	conventional
2015-02	1.06	NorthernNewEngland	2015	conventional
2015-01	1.05	NorthernNewEngland	2015	conventional
2015-12	1.2	Orlando	2015	conventional
2015-11	0.97	Orlando	2015	conventional
2015-10	1.0	Orlando	2015	conventional
2015-09	0.99	Orlando	2015	conventional
2015-08	1.24	Orlando	2015	conventional
2015-07	0.97	Orlando	2015	conventional
2015-06	0.98	Orlando	2015	conventional
2015-05	0.98	Orlando	2015	conventional
2015-04	1.1	Orlando	2015	conventional
2015-03	1.0	Orlando	2015	conventional
2015-02	0.95	Orlando	2015	conventional
2015-01	1.0	Orlando	2015	conventional
2015-12	1.18	Philadelphia	2015	conventional
2015-11	1.13	Philadelphia	2015	conventional
2015-10	1.28	Philadelphia	2015	conventional
2015-09	1.25	Philadelphia	2015	conventional
2015-08	1.21	Philadelphia	2015	conventional
2015-07	1.25	Philadelphia	2015	conventional
2015-06	1.35	Philadelphia	2015	conventional
2015-05	1.22	Philadelphia	2015	conventional
2015-04	1.43	Philadelphia	2015	conventional
2015-03	1.24	Philadelphia	2015	conventional
2015-02	1.14	Philadelphia	2015	conventional
2015-01	1.1	Philadelphia	2015	conventional
2015-12	0.56	PhoenixTucson	2015	conventional
2015-11	0.71	PhoenixTucson	2015	conventional
2015-10	0.89	PhoenixTucson	2015	conventional
2015-09	0.58	PhoenixTucson	2015	conventional
2015-08	0.78	PhoenixTucson	2015	conventional
2015-07	0.56	PhoenixTucson	2015	conventional
2015-06	0.52	PhoenixTucson	2015	conventional
2015-05	0.6	PhoenixTucson	2015	conventional
2015-04	0.57	PhoenixTucson	2015	conventional
2015-03	0.7	PhoenixTucson	2015	conventional
2015-02	0.56	PhoenixTucson	2015	conventional
2015-01	0.65	PhoenixTucson	2015	conventional
2015-12	1.21	Pittsburgh	2015	conventional
2015-11	1.16	Pittsburgh	2015	conventional
2015-10	0.99	Pittsburgh	2015	conventional
2015-09	1.12	Pittsburgh	2015	conventional
2015-08	1.43	Pittsburgh	2015	conventional
2015-07	1.23	Pittsburgh	2015	conventional
2015-06	1.33	Pittsburgh	2015	conventional
2015-05	0.98	Pittsburgh	2015	conventional
2015-04	1.29	Pittsburgh	2015	conventional
2015-03	1.25	Pittsburgh	2015	conventional
2015-02	1.25	Pittsburgh	2015	conventional
2015-01	1.52	Pittsburgh	2015	conventional
2015-12	1.08	Plains	2015	conventional
2015-11	1.12	Plains	2015	conventional
2015-10	1.14	Plains	2015	conventional
2015-09	1.12	Plains	2015	conventional
2015-08	1.13	Plains	2015	conventional
2015-07	1.06	Plains	2015	conventional
2015-06	1.04	Plains	2015	conventional
2015-05	1.01	Plains	2015	conventional
2015-04	1.13	Plains	2015	conventional
2015-03	1.09	Plains	2015	conventional
2015-02	0.92	Plains	2015	conventional
2015-01	1.01	Plains	2015	conventional
2015-12	0.73	Portland	2015	conventional
2015-11	1.06	Portland	2015	conventional
2015-10	1.13	Portland	2015	conventional
2015-09	1.1	Portland	2015	conventional
2015-08	1.14	Portland	2015	conventional
2015-07	1.19	Portland	2015	conventional
2015-06	1.16	Portland	2015	conventional
2015-05	0.95	Portland	2015	conventional
2015-04	1.22	Portland	2015	conventional
2015-03	0.94	Portland	2015	conventional
2015-02	0.98	Portland	2015	conventional
2015-01	0.97	Portland	2015	conventional
2015-12	0.97	RaleighGreensboro	2015	conventional
2015-11	1.12	RaleighGreensboro	2015	conventional
2015-10	1.29	RaleighGreensboro	2015	conventional
2015-09	1.04	RaleighGreensboro	2015	conventional
2015-08	1.22	RaleighGreensboro	2015	conventional
2015-07	1.16	RaleighGreensboro	2015	conventional
2015-06	1.14	RaleighGreensboro	2015	conventional
2015-05	1.01	RaleighGreensboro	2015	conventional
2015-04	1.12	RaleighGreensboro	2015	conventional
2015-03	1.2	RaleighGreensboro	2015	conventional
2015-02	0.99	RaleighGreensboro	2015	conventional
2015-01	1.2	RaleighGreensboro	2015	conventional
2015-12	0.98	RichmondNorfolk	2015	conventional
2015-11	1.0	RichmondNorfolk	2015	conventional
2015-10	1.04	RichmondNorfolk	2015	conventional
2015-09	0.98	RichmondNorfolk	2015	conventional
2015-08	1.05	RichmondNorfolk	2015	conventional
2015-07	1.01	RichmondNorfolk	2015	conventional
2015-06	1.02	RichmondNorfolk	2015	conventional
2015-05	0.99	RichmondNorfolk	2015	conventional
2015-04	1.14	RichmondNorfolk	2015	conventional
2015-03	1.13	RichmondNorfolk	2015	conventional
2015-02	0.97	RichmondNorfolk	2015	conventional
2015-01	1.13	RichmondNorfolk	2015	conventional
2015-12	1.01	Roanoke	2015	conventional
2015-11	1.0	Roanoke	2015	conventional
2015-10	1.04	Roanoke	2015	conventional
2015-09	1.09	Roanoke	2015	conventional
2015-08	1.04	Roanoke	2015	conventional
2015-07	1.05	Roanoke	2015	conventional
2015-06	1.05	Roanoke	2015	conventional
2015-05	1.03	Roanoke	2015	conventional
2015-04	1.19	Roanoke	2015	conventional
2015-03	1.11	Roanoke	2015	conventional
2015-02	1.0	Roanoke	2015	conventional
2015-01	1.13	Roanoke	2015	conventional
2015-12	1.07	Sacramento	2015	conventional
2015-11	1.02	Sacramento	2015	conventional
2015-10	1.1	Sacramento	2015	conventional
2015-09	1.21	Sacramento	2015	conventional
2015-08	1.33	Sacramento	2015	conventional
2015-07	1.26	Sacramento	2015	conventional
2015-06	1.18	Sacramento	2015	conventional
2015-05	1.05	Sacramento	2015	conventional
2015-04	1.23	Sacramento	2015	conventional
2015-03	1.02	Sacramento	2015	conventional
2015-02	1.04	Sacramento	2015	conventional
2015-01	1.05	Sacramento	2015	conventional
2015-12	0.67	SanDiego	2015	conventional
2015-11	1.01	SanDiego	2015	conventional
2015-10	1.11	SanDiego	2015	conventional
2015-09	1.02	SanDiego	2015	conventional
2015-08	1.07	SanDiego	2015	conventional
2015-07	1.05	SanDiego	2015	conventional
2015-06	0.89	SanDiego	2015	conventional
2015-05	0.8	SanDiego	2015	conventional
2015-04	1.11	SanDiego	2015	conventional
2015-03	0.83	SanDiego	2015	conventional
2015-02	0.85	SanDiego	2015	conventional
2015-01	0.94	SanDiego	2015	conventional
2015-12	1.06	SanFrancisco	2015	conventional
2015-11	0.97	SanFrancisco	2015	conventional
2015-10	1.04	SanFrancisco	2015	conventional
2015-09	1.54	SanFrancisco	2015	conventional
2015-08	1.57	SanFrancisco	2015	conventional
2015-07	1.53	SanFrancisco	2015	conventional
2015-06	1.31	SanFrancisco	2015	conventional
2015-05	1.0	SanFrancisco	2015	conventional
2015-04	1.33	SanFrancisco	2015	conventional
2015-03	0.95	SanFrancisco	2015	conventional
2015-02	0.91	SanFrancisco	2015	conventional
2015-01	0.99	SanFrancisco	2015	conventional
2015-12	0.81	Seattle	2015	conventional
2015-11	1.14	Seattle	2015	conventional
2015-10	1.06	Seattle	2015	conventional
2015-09	1.17	Seattle	2015	conventional
2015-08	1.18	Seattle	2015	conventional
2015-07	1.35	Seattle	2015	conventional
2015-06	1.27	Seattle	2015	conventional
2015-05	1.02	Seattle	2015	conventional
2015-04	1.26	Seattle	2015	conventional
2015-03	1.07	Seattle	2015	conventional
2015-02	0.97	Seattle	2015	conventional
2015-01	0.97	Seattle	2015	conventional
2015-12	1.03	SouthCarolina	2015	conventional
2015-11	1.0	SouthCarolina	2015	conventional
2015-10	1.04	SouthCarolina	2015	conventional
2015-09	1.0	SouthCarolina	2015	conventional
2015-08	1.14	SouthCarolina	2015	conventional
2015-07	1.05	SouthCarolina	2015	conventional
2015-06	1.04	SouthCarolina	2015	conventional
2015-05	0.97	SouthCarolina	2015	conventional
2015-04	1.1	SouthCarolina	2015	conventional
2015-03	1.05	SouthCarolina	2015	conventional
2015-02	0.91	SouthCarolina	2015	conventional
2015-01	1.01	SouthCarolina	2015	conventional
2015-12	0.76	SouthCentral	2015	conventional
2015-11	0.81	SouthCentral	2015	conventional
2015-10	0.84	SouthCentral	2015	conventional
2015-09	0.86	SouthCentral	2015	conventional
2015-08	0.9	SouthCentral	2015	conventional
2015-07	0.83	SouthCentral	2015	conventional
2015-06	0.75	SouthCentral	2015	conventional
2015-05	0.78	SouthCentral	2015	conventional
2015-04	0.83	SouthCentral	2015	conventional
2015-03	0.87	SouthCentral	2015	conventional
2015-02	0.71	SouthCentral	2015	conventional
2015-01	0.77	SouthCentral	2015	conventional
2015-12	1.13	Southeast	2015	conventional
2015-11	0.98	Southeast	2015	conventional
2015-10	0.98	Southeast	2015	conventional
2015-09	0.97	Southeast	2015	conventional
2015-08	1.18	Southeast	2015	conventional
2015-07	0.99	Southeast	2015	conventional
2015-06	0.99	Southeast	2015	conventional
2015-05	0.97	Southeast	2015	conventional
2015-04	1.08	Southeast	2015	conventional
2015-03	1.01	Southeast	2015	conventional
2015-02	0.93	Southeast	2015	conventional
2015-01	0.98	Southeast	2015	conventional
2015-12	0.85	Spokane	2015	conventional
2015-11	1.13	Spokane	2015	conventional
2015-10	0.99	Spokane	2015	conventional
2015-09	1.08	Spokane	2015	conventional
2015-08	1.19	Spokane	2015	conventional
2015-07	1.22	Spokane	2015	conventional
2015-06	1.19	Spokane	2015	conventional
2015-05	0.98	Spokane	2015	conventional
2015-04	1.15	Spokane	2015	conventional
2015-03	1.03	Spokane	2015	conventional
2015-02	0.97	Spokane	2015	conventional
2015-01	1.0	Spokane	2015	conventional
2015-12	1.09	StLouis	2015	conventional
2015-11	1.21	StLouis	2015	conventional
2015-10	1.23	StLouis	2015	conventional
2015-09	1.3	StLouis	2015	conventional
2015-08	1.26	StLouis	2015	conventional
2015-07	1.32	StLouis	2015	conventional
2015-06	1.3	StLouis	2015	conventional
2015-05	1.09	StLouis	2015	conventional
2015-04	1.36	StLouis	2015	conventional
2015-03	1.24	StLouis	2015	conventional
2015-02	1.1	StLouis	2015	conventional
2015-01	1.15	StLouis	2015	conventional
2015-12	1.17	Syracuse	2015	conventional
2015-11	1.16	Syracuse	2015	conventional
2015-10	1.34	Syracuse	2015	conventional
2015-09	1.36	Syracuse	2015	conventional
2015-08	1.48	Syracuse	2015	conventional
2015-07	1.45	Syracuse	2015	conventional
2015-06	1.22	Syracuse	2015	conventional
2015-05	1.4	Syracuse	2015	conventional
2015-04	1.38	Syracuse	2015	conventional
2015-03	1.32	Syracuse	2015	conventional
2015-02	1.26	Syracuse	2015	conventional
2015-01	1.33	Syracuse	2015	conventional
2015-12	1.17	Tampa	2015	conventional
2015-11	0.97	Tampa	2015	conventional
2015-10	0.89	Tampa	2015	conventional
2015-09	0.91	Tampa	2015	conventional
2015-08	1.18	Tampa	2015	conventional
2015-07	0.95	Tampa	2015	conventional
2015-06	0.97	Tampa	2015	conventional
2015-05	0.97	Tampa	2015	conventional
2015-04	1.09	Tampa	2015	conventional
2015-03	1.0	Tampa	2015	conventional
2015-02	0.92	Tampa	2015	conventional
2015-01	0.97	Tampa	2015	conventional
2015-12	0.89	TotalUS	2015	conventional
2015-11	0.97	TotalUS	2015	conventional
2015-10	1.02	TotalUS	2015	conventional
2015-09	1.02	TotalUS	2015	conventional
2015-08	1.09	TotalUS	2015	conventional
2015-07	1.04	TotalUS	2015	conventional
