contest_login	fraud	k1a	k1b	k1c	k1d	k1e	k1f	k1	k2a	k2b	k2c	k2d	k2e	k2f	k2	k3a	k3b	k3c	k3
eds_python_2020_101	0.0	10.0	10.0	9.0				2.9							0.0	0.0	0.0	0.0	0.0
eds_python_2020_102	1.0	10.0	10.0	15.0		20.0	30.0	8.5		0.0			20.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_103	0.0		10.0	15.0	25.0	20.0	30.0	10.0		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_104	0.0	10.0	10.0	20.0		8.0	12.0	6.0	20.0			15.0			3.5	20.0	0.0	4.0	2.4
eds_python_2020_105	0.0	3.0	0.0	0.0				0.3				0.0	20.0		2.0	25.0	20.0	3.0	4.8
eds_python_2020_106	0.0	10.0	10.0	15.0	30.0		30.0	9.5		0.0	0.0	20.0	20.0		4.0	5.0	40.0	0.0	4.5
eds_python_2020_107	0.0		0.0	4.0			0.0	0.4				20.0	20.0	15.0	5.5	12.0	0.0	20.0	3.2
eds_python_2020_108	1.0	0.0	10.0	20.0	0.0			3.0	0.0	5.0		20.0			2.5	3.0	0.0	3.0	0.6
eds_python_2020_109	2.0	2.0	10.0	9.0		16.0	12.0	4.9	20.0	10.0	20.0	20.0	20.0	15.0	10.5	35.0	55.0	22.0	11.2
eds_python_2020_110	1.0	10.0	10.0	18.0		0.0	30.0	6.8		10.0		20.0	20.0		5.0	15.0	0.0	30.0	4.5
eds_python_2020_111	1.0	0.0		20.0	0.0	0.0	0.0	2.0				20.0			2.0	0.0	0.0	0.0	0.0
eds_python_2020_112								0.0	20.0						2.0	0.0	0.0	0.0	0.0
eds_python_2020_113	0.0	10.0	10.0	0.0	0.0	20.0	12.0	5.2	5.0		0.0	20.0	20.0		4.5	0.0	0.0	0.0	0.0
eds_python_2020_114								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_115	3.0	10.0	10.0		30.0			5.0	0.0	0.0		20.0	0.0		2.0	14.0	0.0	21.5	3.55
eds_python_2020_116	1.0		10.0	10.0	0.0	20.0	18.0	5.8	20.0	10.0	14.0	20.0	20.0	20.0	10.4	0.0	0.0	0.0	0.0
eds_python_2020_117	1.0		10.0	20.0	30.0	20.0	30.0	11.0	0.0	0.0		20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_118	1.0	10.0	10.0	13.0		4.0	12.0	4.9				0.0			0.0	0.0	0.0	0.0	0.0
eds_python_2020_120	2.0	1.0	10.0	6.0				1.7		0.0		20.0	20.0		4.0	25.0	20.0	3.5	4.85
eds_python_2020_121	0.0	10.0	10.0	20.0	30.0	6.0		7.6	20.0			20.0	20.0		6.0	0.0	0.0	0.0	0.0
eds_python_2020_122	1.0	10.0	10.0	13.0	25.0	4.0	30.0	9.2		5.0	15.0	20.0	20.0	20.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_123	1.0	10.0	10.0	0.0	30.0		26.0	8.6	20.0	10.0	20.0	20.0	20.0		9.0	0.0	0.0	0.0	0.0
eds_python_2020_124	2.0	10.0	10.0	4.0		4.0	12.0	4.0				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_125	1.0	2.0	10.0	18.0		4.0	10.0	4.4				20.0	20.0	5.0	4.5	35.0	0.0	3.5	3.85
eds_python_2020_126	6.0	8.0	10.0	20.0	30.0		30.0	9.8		5.0		20.0	20.0	20.0	6.5	0.0	0.0	0.0	0.0
eds_python_2020_127	0.0							0.0	0.0			0.0	20.0		2.0	24.5	40.0	0.0	6.45
eds_python_2020_128	2.0		10.0	18.0	25.0	16.0	12.0	8.1	20.0			0.0			2.0	0.0	0.0	0.0	0.0
eds_python_2020_129	0.0	0.0	10.0		30.0			4.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_130	0.0	10.0	0.0					1.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_131	0.0	10.0	10.0	20.0		16.0	12.0	6.8		10.0		20.0	20.0	20.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_132	2.0	10.0	10.0	18.0	30.0	16.0		8.4							0.0	0.0	0.0	0.0	0.0
eds_python_2020_133	0.0	10.0	8.0	0.0			0.0	1.8	19.0	7.0	0.0	20.0	20.0	20.0	8.6	0.0	0.0	0.0	0.0
eds_python_2020_134	6.0			20.0		14.0		3.4		0.0		20.0	20.0		4.0	0.0	0.0	0.0	0.0
eds_python_2020_135	0.0	10.0	10.0	20.0	0.0	20.0	30.0	9.0		5.0		20.0	20.0	20.0	6.5	13.0	40.0	0.0	5.3
eds_python_2020_136	4.0	10.0	10.0	20.0			12.0	5.2							0.0	25.0	40.0	18.0	8.3
eds_python_2020_137	1.0	10.0	10.0	20.0	30.0	20.0	30.0	12.5							0.0	0.0	0.0	0.0	0.0
eds_python_2020_138	1.0	0.0						0.0							0.0				0.0
eds_python_2020_139	6.0	9.0	10.0	20.0	30.0		30.0	9.9		5.0		20.0	20.0	20.0	6.5	0.0	0.0	0.0	0.0
eds_python_2020_140	0.0	10.0	10.0	20.0		16.0	14.0	7.0	20.0	0.0		0.0	0.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_141	2.0	10.0	7.0	20.0			12.0	4.9		10.0		20.0	20.0		5.0	0.0	0.0	0.0	0.0
eds_python_2020_142	187.0	0.0	10.0	20.0	30.0	20.0	30.0	11.0	20.0		20.0	20.0	20.0	20.0	10.0	0.0	0.0	0.0	0.0
eds_python_2020_143	2.0	10.0	10.0		30.0	16.0		6.6		0.0					0.0	20.0	40.0	20.0	8.0
eds_python_2020_144	3.0	0.0	10.0	20.0	30.0		12.0	7.2	20.0	10.0	20.0	20.0	20.0	20.0	11.0	35.0	20.0	5.0	6.0
eds_python_2020_145								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_146	1.0	10.0	0.0	18.0		20.0		4.8				0.0	0.0		0.0	17.0	0.0	7.0	2.4
eds_python_2020_398	1.0	9.0	10.0	15.0	25.0	2.0	12.0	7.3							0.0	0.0	0.0	0.0	0.0
eds_python_2020_147	1.0	10.0	10.0	3.0				2.3	20.0	0.0	0.0	20.0	20.0	20.0	8.0	15.0	40.0	0.0	5.5
eds_python_2020_148	2.0	10.0		20.0			0.0	3.0				20.0	20.0		4.0	17.0	2.0	4.0	2.3
eds_python_2020_399	1.0	0.0	10.0		0.0		18.0	3.3	20.0	15.0		20.0	20.0		7.5	0.0	0.0	5.0	0.5
eds_python_2020_149	0.0	1.0	10.0	12.0	8.0	4.0	12.0	4.7							0.0	0.0	0.0	0.0	0.0
eds_python_2020_150	2.0	10.0		20.0				3.0				15.0			1.5	35.0	48.0	0.0	8.3
eds_python_2020_151	1.0	9.0	0.0	7.0	0.0		14.0	3.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_152	3.0	10.0	10.0	15.0	0.0	20.0	14.0	6.9	20.0	0.0		20.0	0.0		4.0	35.0	40.0	4.0	7.9
eds_python_2020_153	0.0	10.0	10.0	9.0				2.9	0.0						0.0	25.0	0.0	5.0	3.0
eds_python_2020_154	0.0	2.0	10.0	15.0	0.0		12.0	3.9		0.0	0.0				0.0	16.0	0.0	0.0	1.6
eds_python_2020_155	2.0	10.0	10.0	20.0	30.0	2.0		7.2				0.0	0.0	20.0	2.0				0.0
eds_python_2020_156	4.0	8.0	10.0	4.0			0.0	2.2	20.0			20.0	20.0	20.0	8.0	12.0	0.0	18.0	3.0
eds_python_2020_157	0.0	10.0	10.0	20.0	30.0	16.0	14.0	10.0				20.0			2.0	0.0	35.0	0.0	3.5
eds_python_2020_158								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_159	1.0	10.0	10.0	20.0		20.0	30.0	9.0		0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0
eds_python_2020_160	2.0	10.0	10.0	20.0	0.0	4.0	0.0	4.4	0.0	0.0	7.0	20.0	20.0	20.0	6.7	25.0	40.0	15.0	8.0
eds_python_2020_161	1.0	10.0	10.0	20.0	0.0	2.0		4.2	20.0	5.0	20.0	20.0	20.0		8.5	35.0	0.0	5.0	4.0
eds_python_2020_162	2.0	10.0	10.0	20.0	30.0	20.0	0.0	9.0		10.0		20.0	20.0	15.0	6.5	0.0	0.0	0.0	0.0
eds_python_2020_163	2.0	10.0	10.0	20.0	30.0	16.0	28.0	11.4	20.0	5.0	0.0	20.0	20.0		6.5	0.0	0.0	0.0	0.0
eds_python_2020_164	1.0	1.0	10.0			4.0	26.0	5.1				20.0	0.0	20.0	4.0	35.0	0.0	0.0	3.5
eds_python_2020_165								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_166	1.0		10.0	20.0	30.0	20.0	30.0	11.0	20.0	10.0	20.0	20.0	20.0	20.0	11.0	0.0	0.0	0.0	0.0
eds_python_2020_167								0.0	10.0	5.0	0.0	10.0	10.0	12.0	4.7	35.0	0.0	15.0	5.0
eds_python_2020_168	0.0	8.0	10.0	15.0		16.0	12.0	6.1	20.0	10.0		20.0	20.0		7.0	0.0	0.0	0.0	0.0
eds_python_2020_169	1.0	2.0	10.0	20.0		4.0	12.0	4.8				0.0			0.0	35.0	0.0	5.0	4.0
eds_python_2020_170	2.0	1.0	10.0	20.0	0.0		12.0	4.3		5.0		0.0	20.0		2.5	15.0	30.0	10.0	5.5
eds_python_2020_171	3.0	6.0	10.0	20.0	0.0	12.0		4.8		10.0	20.0	20.0		0.0	5.0	30.0	0.0	5.0	3.5
eds_python_2020_172	6.0							0.0	20.0	10.0	0.0	20.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0
eds_python_2020_173								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_174	4.0	10.0	10.0	7.0	8.0		12.0	4.7	20.0	0.0		20.0	20.0	20.0	8.0	15.0	0.0	15.0	3.0
eds_python_2020_175	3.0	1.0	8.0					0.9		0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_176	2.0	10.0	10.0	16.0		4.0	12.0	5.2				20.0	20.0	20.0	6.0	0.0	40.0	0.0	4.0
eds_python_2020_177	0.0	1.0	10.0	16.0		6.0	12.0	4.5		0.0		20.0	20.0	20.0	6.0	35.0	0.0	5.0	4.0
eds_python_2020_178	1.0	1.0	0.0	20.0			12.0	3.3	20.0	10.0	0.0	20.0	20.0	20.0	9.0	30.0	30.0	0.0	6.0
eds_python_2020_179	1.0	1.0	10.0	20.0	30.0	20.0	30.0	11.1							0.0	0.0	0.0	0.0	0.0
eds_python_2020_180	1.0	10.0	10.0	20.0	30.0	20.0	12.0	10.2		10.0	7.0	20.0	20.0	0.0	5.7	35.0	0.0	0.0	3.5
eds_python_2020_181	0.0	10.0	10.0	20.0	0.0		12.0	5.2		5.0		20.0	20.0	20.0	6.5	35.0	40.0	5.0	8.0
eds_python_2020_182								0.0		0.0					0.0	0.0	0.0	0.0	0.0
eds_python_2020_183		10.0		20.0	30.0			6.0							0.0	10.0	55.0	0.0	6.5
eds_python_2020_184	0.0	10.0	10.0	20.0	30.0		30.0	10.0	20.0	10.0		20.0	20.0	20.0	9.0	25.0	40.0	5.0	7.0
eds_python_2020_185	2.0	10.0	10.0	16.0	21.0	16.0	14.0	8.7	20.0	10.0		20.0	20.0	20.0	9.0	25.0	0.0	0.0	2.5
eds_python_2020_186	2.0	10.0	10.0	20.0	0.0	16.0	12.0	6.8	20.0	10.0	0.0	20.0	20.0	20.0	9.0	35.0	40.0	5.0	8.0
eds_python_2020_187	0.0	10.0	10.0	20.0		20.0	30.0	9.0				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_188	0.0	10.0		0.0		0.0		1.0		10.0		20.0	20.0		5.0	0.0	0.0	0.0	0.0
eds_python_2020_189	1.0	10.0	8.0	20.0		16.0	30.0	8.4							0.0	0.0	0.0	0.0	0.0
eds_python_2020_190	0.0	9.0	10.0	9.0		4.0	12.0	4.4				20.0	20.0	10.0	5.0	0.0	0.0	0.0	0.0
eds_python_2020_191	2.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0	20.0	5.0		20.0	20.0		6.5	0.0	0.0	0.0	0.0
eds_python_2020_192	0.0	10.0	10.0	15.0	30.0	0.0	30.0	9.5	20.0						2.0	0.0	0.0	0.0	0.0
eds_python_2020_193	0.0	10.0	10.0	18.0	30.0	20.0	8.0	9.6	20.0		0.0	20.0	20.0	20.0	8.0	0.0	0.0	0.0	0.0
eds_python_2020_194								0.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_195	0.0	10.0	8.0				30.0	4.8							0.0	0.0	40.0	0.0	4.0
eds_python_2020_196	0.0	9.0	10.0	6.0		4.0	12.0	4.1		0.0		0.0	0.0		0.0	25.0	0.0	15.0	4.0
eds_python_2020_197	0.0	10.0	10.0	9.0		4.0	12.0	4.5	20.0	10.0	0.0		0.0		3.0	35.0	55.0	0.0	9.0
eds_python_2020_198	0.0	10.0	10.0	18.0		20.0	14.0	7.2		10.0	10.0	20.0	18.0		5.8	0.0	0.0	0.0	0.0
eds_python_2020_199	2.0	10.0		12.0	30.0			5.2	0.0	5.0	0.0	20.0	0.0	0.0	2.5	15.0	0.0	5.0	2.0
eds_python_2020_200	2.0	10.0	10.0	20.0	30.0	20.0	30.0	12.0		5.0		20.0	20.0	0.0	4.5	7.0	0.0	5.0	1.2
eds_python_2020_201	0.0			15.0	0.0	14.0	12.0	4.1				20.0	20.0	20.0	6.0	0.0	0.0	0.0	0.0
eds_python_2020_202	3.0	10.0	0.0	20.0			0.0	3.0				20.0	20.0	0.0	4.0	20.0	35.0	5.0	6.0
eds_python_2020_203	6.0	10.0	10.0	10.0		0.0	12.0	4.2				17.0	15.0		3.2	0.0	0.0	0.0	0.0
eds_python_2020_204	2.0				30.0			3.0				20.0	0.0		2.0	0.0	0.0	0.0	0.0
eds_python_2020_205	6.0	10.0	10.0	20.0			30.0	7.0							0.0	0.0	0.0	0.0	0.0
eds_python_2020_206	0.0	10.0	10.0	20.0	30.0	16.0	12.0	9.8				20.0		20.0	4.0	0.0	0.0	0.0	0.0
eds_python_2020_207	0.0	2.0	10.0	15.0	30.0	4.0	12.0	7.3							0.0	0.0	0.0	0.0	0.0
