title	commentCount	dislikeCount	likeCount	music_style	performer	viewCount	commentators_uniq	comments_obscene_cnt	video_age
"""Дивизия"" приглашает на фестиваль ""Троица"""	1.0	3.0	13.0	indi	краснознаменная_дивизия_имени_моей_бабушки	704.0	1.0	0.0	1002
"""Донбасс - моя Спарта"". Документальный проект Максима Фадеева и Юлии Чичериной"	73.0	78.0	923.0	rock	чичерина	35426.0	55.0	0.0	594
"""Дорога от души к душе"" [Зеленоград, 2013г.]"	8.0	9.0	201.0	shanson	ирина_круг	48737.0	8.0	0.0	2121
"""Ещё не вечер. Отдам все за жилье"" (Елена Ваенга) 18.11.2011."	23.0	33.0	826.0	estrada	ваенга	125432.0	10.0	0.0	2665
"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (1)"	17.0	49.0	151.0	estrada	николаев	79452.0	1.0	0.0	3015
"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (2)"	5.0	93.0	410.0	estrada	николаев	167596.0	2.0	0.0	3015
"""Женский взгляд"" Игорь Николаев и Юля Проскурякова (3)"	0.0	40.0	185.0	estrada	николаев	64957.0			3015
"""Живут же люди!"" на НТВ [2010г.]"	32.0	43.0	478.0	shanson	ирина_круг	321200.0	29.0	1.0	2148
"""Живут же люди"" Игорь Николаев и Юля Проскурякова (1)"	13.0	49.0	149.0	estrada	николаев	121513.0	2.0	0.0	3043
"""Живут же люди"" Игорь Николаев и Юля Проскурякова (2)"	1.0	10.0	77.0	estrada	николаев	57339.0			3043
"""Живут же люди"" Игорь Николаев и Юля Проскурякова (3)"	10.0	382.0	1403.0	estrada	николаев	904618.0	10.0	0.0	3043
"""Заноза"" (запись новой песни Би-2 на студии ""Stasrecords"")"	11.0	2.0	195.0	rock	би_2	28912.0	9.0	0.0	3175
"""Звёздный ринг"" [2010г.]"	4.0	2.0	48.0	shanson	ирина_круг	9235.0	3.0	0.0	2120
"""КРАЯ РОДНЫЕ"" гр. ""Воровайки"", слова Виктории В. Ветровой, музыка Юрия Алмазова"	0.0	0.0	1.0	shanson	воровайки	418.0			479
"""Как уходили кумиры.Михаил Круг"" [2007г.]"	1.0	3.0	43.0	shanson	ирина_круг	17046.0	1.0	0.0	2086
"""Комсомольская правда"": НЮША"	9.0	7.0	129.0	popsa	нюша	16794.0	9.0	0.0	2186
"""Королевство Кривых Зеркал"" Игорь Николаев (1988г.)"	10.0	14.0	427.0	estrada	николаев	93914.0	6.0	0.0	2450
"""Король и Шут"" - 15 лет"	5.0	0.0	62.0	rock	король_и_шут	6547.0	5.0	0.0	3817
"""Кто хочет стать миллионером"" И. Николаев и Ю. Проскурякова"	1.0	7.0	14.0	estrada	николаев	5499.0	1.0	0.0	2028
"""Лето"" 2018 | фильм Кирилла Серебренникова | тизер"	36.0	28.0	335.0	rock	звери	36629.0	19.0	1.0	310
"""Личные вещи"" Игоря Николаева"	2.0	24.0	96.0	estrada	николаев	27241.0	2.0	0.0	2876
"""Лучшее видео""- Валерия и Валерий Меладзе ""Не теряй меня"" Муз-Тв 2014"	0.0	2.0	23.0	estrada	валерия	6208.0			1741
"""Любить не страшно"" [Зеленоград, 2013г.]"	10.0	5.0	167.0	shanson	ирина_круг	27273.0	9.0	0.0	1977
"""М1"": НЮША сняла клип в Киеве!"	20.0	5.0	138.0	popsa	нюша	21862.0	13.0	0.0	2174
"""Масленица 2013"" в Лондоне, выступление  Олега Газманова"	1.0	4.0	37.0	estrada	газманов	4533.0	1.0	0.0	2156
"""Молодость"" - это проза"	4.0	1.0	34.0	rock	ногу_свело	2187.0	4.0	0.0	3061
"""Моя любимая кухня"". Дорада на скорую руку"	36.0	90.0	512.0	popsa	2маши	74666.0	27.0	0.0	2160
"""Моя любимая кухня"". Спецвыпуск. Что мы покупаем  на рынке?"	5.0	5.0	132.0	popsa	2маши	17766.0	4.0	0.0	2164
"""Моя правда. Михаил Круг"" [2007г.]"	1.0	1.0	38.0	shanson	ирина_круг	21788.0	1.0	0.0	2122
"""Музыкальные пристрастия"" с Артуром Гаспаряном"	3.0	2.0	44.0	estrada	киркоров	4103.0	1.0	0.0	3049
"""Мумий Тролль"" уходит в море. Отход ""Седова""."	3.0	0.0	70.0	rock	мумий_тролль	6327.0	3.0	0.0	2482
"""Мы - это LOUNA"" (концерт LOUNA в ARENA MOSCOW 14.12.13)"	30.0	18.0	904.0	rock	louna	88743.0	22.0	0.0	1902
"""Мы - это LOUNA"" The Movie СКОРО!"	5.0	11.0	175.0	rock	louna	32344.0	5.0	0.0	1758
"""НАЙДИ МЕНЯ"" Сергей Лазарев (SERGEY)"		111.0	2484.0	popsa	лазарев	508228.0			3418
"""НАШЕ УТРО"" на концерте LOUNA в ""Б2"" 04.09.2011"	0.0	4.0	41.0	rock	louna	7052.0			2747
"""НАШЕСТВИЕ 2013"" - Алексей Горшенёв (пресс-конференция)"	2.0	3.0	42.0	rock	кукрыниксы	12542.0	2.0	0.0	2070
"""НЕ УБЕРЕГЛА ЛЮБОВЬ"" (Audio) гр. ""Воровайки"", слова Виктории В. Ветровой, музыка Юрия Алмазова"	0.0	0.0	2.0	shanson	воровайки	985.0			499
"""Несчастный случай"" в фильме ""Прорва"", 1992 г."	0.0	0.0	14.0	rock	несчастный_случай	3305.0			2898
"""Новая волна 2016"" // “Уходит праздник“"	6.0	350.0	188.0	estrada	николаев	289471.0	1.0	0.0	914
"""Новая волна 2016"" Творческий вечер Олега Газманова"	94.0	118.0	1048.0	estrada	газманов	245091.0	68.0	1.0	913
"""Ногу Свело!"" -  SOS in the Ass"	8.0	10.0	127.0	rock	ногу_свело	30273.0	7.0	0.0	3090
"""Океаны"" (acoustic home version)"	10.0			estrada	валерия	3252.0	10.0	0.0	1083
"""Остров Юрий"""	1.0	0.0	11.0	estrada	николаев	611.0	1.0	0.0	1326
"""ПОДВЕНЕЧНОЕ БЕЛОЕ ПЛАТЬЕ - 2"" гр. Воровайки, слова Виктории В. Ветровой, музыка Юрия Алмазова"	3.0	0.0	2.0	shanson	воровайки	1390.0	1.0	0.0	616
"""ПОДВЕНЕЧНОЕ БЕЛОЕ ПЛАТЬЕ"" (1-ая)-гр. ""Воровайки"", слова Виктории В. Ветровой, муз. Юрия Алмазова"	0.0	0.0	3.0	shanson	воровайки	714.0			326
"""ПОРУЧИК"""	5.0	1.0	79.0	rock	король_и_шут	6710.0	4.0	0.0	3819
"""Партийная ZONA"" на МУЗ ТВ: Интервью с НЮШЕЙ"	7.0	5.0	91.0	popsa	нюша	12204.0	7.0	0.0	2111
"""Партийная ZONA"" на МУЗ ТВ: НЮША"	16.0	12.0	133.0	popsa	нюша	12065.0	15.0	0.0	2111
"""Первая четверть"" Юбилейный концерт в Олимпийском (анонс)"	11.0	0.0	125.0	rock	арбенина	2225.0			8
"""Первая четверть"" юбилейный концерт Дианы Арбениной. Ночных Снайперов в Олимпийском"	43.0	3.0	399.0	rock	арбенина	3177.0			0
"""Перелётная птица"" [Москва, 2012г.]"	2.0	3.0	56.0	shanson	ирина_круг	8325.0	2.0	0.0	1984
"""Пока ещё не поздно"". Михаил Круг. Жизнь и любовь. [2013г.]"	7.0	7.0	108.0	shanson	ирина_круг	29928.0	5.0	0.0	2148
"""Пока ещё не поздно"". Михаил Круг. Любовь и смерть. [2013г.]"	15.0	11.0	158.0	shanson	ирина_круг	27185.0	9.0	0.0	2148
"""Последний герой"" с Дианой Арбениной - премьера второго сезона!"	1.0	1.0	31.0	rock	арбенина	1953.0	1.0	0.0	892
"""Последний герой: Павел Кашин (тизер программы от 15.02.2017)"	0.0	1.0	9.0	rock	арбенина	954.0			757
"""Приходите в мой дом"" [Москва, 2012г.]"	1.0	1.0	64.0	shanson	ирина_круг	16962.0			2095
"""Прости меня"". Концерт памяти М.Танича [2012г.]"	8.0	10.0	158.0	shanson	ирина_круг	56637.0	4.0	0.0	2148
"""Прости меня"". Ээхх, Разгуляй [2014г.]"	19.0	52.0	537.0	shanson	ирина_круг	142764.0	15.0	0.0	1898
"""Простые вопросы."" Амур-Инфо. 22 марта 2013."	3.0	0.0	31.0	rock	арбенина	5887.0	3.0	0.0	2176
"""Пусть говорят"" [2008г.]"	6.0	7.0	53.0	shanson	ирина_круг	50608.0	5.0	0.0	2107
"""Пусть говорят"" [2013г.]"	0.0	7.0	61.0	shanson	ирина_круг	64731.0			2123
"""Пусть говорят.Звездный бэби-бум"" [2013г.]"	31.0	23.0	474.0	shanson	ирина_круг	122915.0	24.0	0.0	1905
"""РАЗЛУКА"" исполняет гр. ""Воровайки"", слова Виктории В. Ветровой, музыка Юрия Алмазова"	2.0	0.0	45.0	shanson	воровайки	6577.0	2.0	0.0	616
"""Радио 101"" - 5-летний юбилей"	4.0	3.0	45.0	rock	несчастный_случай	1317.0	3.0	0.0	786
"""Ракеты из России"" на ""Нашествии 2012"": рубилово под Nirvana"	2.0	2.0	57.0	rock	тараканы	5728.0	2.0	0.0	2439
"""Русский чарт"" с НЮШЕЙ на МУЗе"	28.0	20.0	162.0	popsa	нюша	30665.0	41.0	0.0	2101
"""Русский чарт"" с НЮШЕЙ на МУЗе"	10.0	8.0	79.0	popsa	нюша	14410.0	41.0	0.0	2108
"""Русский чарт"" с НЮШЕЙ на МУЗе"	14.0	10.0	79.0	popsa	нюша	12494.0	41.0	0.0	2128
"""Сказочка"" [Зеленоград, 2013г.]"	2.0	3.0	35.0	shanson	ирина_круг	10553.0	2.0	0.0	2146
"""Спокойной ночи, малыши"" с участием Валерии"	3.0	13.0	67.0	estrada	валерия	24467.0	3.0	0.0	1947
"""Сто вопросов к взрослому"" - Игорь Николаев (часть 1)"	3.0	1.0	72.0	estrada	николаев	21942.0			3085
"""Сто вопросов к взрослому"" - Игорь Николаев (часть 2)"	12.0	30.0	100.0	estrada	николаев	36447.0			3085
"""Сто вопросов к взрослому"" - Игорь Николаев (часть 3)"	1.0	8.0	40.0	estrada	николаев	12450.0			3085
"""Сто вопросов к взрослому"" - Игорь Николаев (часть 4)"	2.0	2.0	31.0	estrada	николаев	8444.0	1.0	0.0	3085
"""Стол заказов"" на RU.TV: НЮША"	7.0	4.0	92.0	popsa	нюша	12482.0	7.0	0.0	2180
"""Субботник по-арийски"""	33.0	5.0	287.0	rock	ария	26509.0	27.0	1.0	2463
"""Субботник"" с Игорем Николаевым и Юлей Проскуряковой"	13.0	61.0	176.0	estrada	николаев	78655.0	1.0	0.0	2553
"""Тебе, моя последняя любовь"" [Зеленоград, 2013г.]"	6.0	4.0	105.0	shanson	ирина_круг	21256.0	5.0	0.0	2146
"""Тебе, моя последняя любовь"" [Шансон года-2012]"	850.0	3508.0	30649.0	shanson	ирина_круг	8521313.0	523.0	15.0	2149
"""Топ лист. Итоги года"" на RU.TV: НЮША"	7.0	3.0	31.0	popsa	нюша	9319.0	4.0	0.0	2224
"""УКРАДЕННАЯ ЛЮБОВЬ"" (AUDIO) - гр. ""Воровайки"". Слова Виктории В. Ветровой, муз. Юрия Алмазова"	0.0	1.0	10.0	shanson	воровайки	1891.0			447
"""Утро России"" на ""Россия 1"": НЮША"	4.0	0.0	53.0	popsa	нюша	6667.0			2294
"""Утро России"": О мультфильме ""Семейка Крудс"""	3.0	10.0	172.0	popsa	нюша	48756.0	3.0	0.0	2192
"""Хочу в ВИА Гру"" (Выпуск №1. Кастинг в Украине)"	1343.0	870.0	8928.0	popsa	виа_гра	2838202.0	703.0	30.0	2015
"""Хочу в ВИА Гру"" (Выпуск №2. Кастинг в России)"	945.0	602.0	4879.0	popsa	виа_гра	1970798.0	489.0	33.0	2007
"""Хочу в ВИА Гру"" (Выпуск №3. Кастинг в Казахстане и Белоруссии)"	656.0	332.0	3439.0	popsa	виа_гра	1386044.0	320.0	21.0	1998
"""Хочу в ВИА Гру"" (Выпуск №4. Второй тур)"	941.0	601.0	6139.0	popsa	виа_гра	2348711.0	415.0	21.0	1993
"""Хочу в ВИА Гру"" (Выпуск №5. Борьба за наставниц)"	1172.0	948.0	9608.0	popsa	виа_гра	3293265.0	606.0	20.0	1986
"""Хочу в ВИА Гру"" (Выпуск №6. Полуфинал)"	1903.0	1087.0	10826.0	popsa	виа_гра	3493040.0	815.0	23.0	1979
"""Хочу в ВИА Гру"" (Выпуск №7. Финал)"	1275.0	779.0	9748.0	popsa	виа_гра	2834447.0	673.0	24.0	1969
"""Хочу в ВИА Гру"" (Выпуск №8. Гранд-финал)"	1987.0	1150.0	14051.0	popsa	виа_гра	3344311.0	831.0	34.0	1966
"""Хочу в ВИА Гру"". Дополнительный кастинг в Киеве"	0.0	3.0	16.0	popsa	виа_гра	13844.0			2113
"""Хочу в ВИА Гру"". Замужество или ВИА Гра?"	0.0	9.0	22.0	popsa	виа_гра	10906.0			2003
"""Хочу в ВИА Гру"". Звание прапорщика или ВИА Гра?"	0.0	4.0	10.0	popsa	виа_гра	8180.0			2003
"""Хочу в ВИА Гру"". Смогут ли бывшие солистки ужиться друг с другом и помочь Константину Меладзе?"	16.0	8.0	44.0	popsa	виа_гра	32188.0	12.0	0.0	1991
"""Хочу в ВИА Гру"". Финальный гала-концерт шоу. 20 октября в Crocus City Hall"	12.0	8.0	40.0	popsa	виа_гра	39157.0	25.0	1.0	1979
"""Хочу в ВИА Гру"". Финальный гала-концерт шоу. 20 октября в Crocus City Hall"	20.0	14.0	75.0	popsa	виа_гра	101283.0	25.0	1.0	1984
"""Хочу в ВИА Гру"". Шестой размер или четыре октавы?"	1.0	6.0	24.0	popsa	виа_гра	15224.0	1.0	0.0	2001
"""Частная история: Валерия"""	13.0			estrada	валерия	123552.0	10.0	0.0	1510
"""Честное слово с Юрием Николаевым"".  Гость Сергей Лазарев.  Выпуск от 08.10.2017"	127.0	33.0	1429.0	popsa	лазарев	46357.0	73.0	1.0	522
"""Чистосердечное признание"" [2008г.]"	5.0	8.0	54.0	shanson	ирина_круг	37774.0	3.0	0.0	2086
"""Чрезвычайные истории"" [2007г.]"	0.0	0.0	10.0	shanson	ирина_круг	7598.0			2086
"""Школа выживания"" от Арии"	154.0	22.0	1231.0	rock	ария	47717.0	118.0	0.0	2080
"""Я прочитаю в глазах твоих"". Концерт ко дню города"	9.0	15.0	229.0	shanson	ирина_круг	41027.0	6.0	0.0	2144
"""Я так люблю тебя, когда ты далеко"" [Москва, 2012г.]"	8.0	12.0	147.0	shanson	ирина_круг	35945.0	6.0	0.0	2082
"# 2 МАШИ  ""Теперь Нас Двое"""	5.0	14.0	153.0	popsa	2маши	15176.0	4.0	0.0	1317
"# 2 Маши "" Мысли"" .."	51.0	79.0	1963.0	popsa	2маши	377074.0	28.0	0.0	1246
"# 2 Маши - ""Теперь нас двое"""	62.0	44.0	1014.0	popsa	2маши	113229.0	42.0	0.0	1235
#16плюсTour @ Stadium Live - новый проект на planeta.ru	6.0	5.0	85.0	rock	би_2	13259.0	5.0	0.0	1455
"#2 Маши   ""Свободные линии"""	10.0	9.0	198.0	popsa	2маши	24605.0	9.0	0.0	1196
#2Mashi  - Descalza  (Acoustic)	983.0	1096.0	35661.0	popsa	2маши	3232013.0	585.0	9.0	315
#2Mashi - Descalza	412.0	318.0	8299.0	popsa	2маши	1099660.0	258.0	2.0	298
"#2Maши VLOG  [ Как мы снимали клип на песню ""Мама, я Танцую"" ]"	147.0	116.0	2492.0	popsa	2маши	240625.0	80.0	3.0	96
"#2МАШИ ""ИЗВЕСТИЯ HALL""  [ 22.10.2017 ]"	25.0	21.0	537.0	popsa	2маши	42047.0	16.0	0.0	494
"#2МАШИ ""Теперь нас двое"" (ТИЗЕР)"	0.0	2.0	22.0	popsa	2маши	2370.0			1236
#2МАШИ - ФИЛЬМ о СТЕРВЫХ  и РЕЖИССЕРКАЯ версия КЛИПА	8.0	10.0	204.0	popsa	2маши	10048.0	6.0	0.0	618
#2МАШИ - ЭКСКЛЮЗИВ !  RUTV со съемок клипа!!	0.0	1.0	56.0	popsa	2маши	4819.0			813
"#2Маши   ""Мы выбираем"" рядио МАЯК LIVE"	0.0	3.0	74.0	popsa	2маши	5878.0			1030
"#2Маши   ""Стервы""  LIVE"	10.0	4.0	127.0	popsa	2маши	6531.0	7.0	0.0	841
"#2Маши  ""Мы выбираем"" LIVE !"	66.0	36.0	1413.0	popsa	2маши	107477.0	43.0	1.0	828
"#2Маши  ""тут тебя жду тебя я"""	4.0	1.0	96.0	popsa	2маши	3795.0	4.0	0.0	1064
"#2Маши  - ""СТЕРВЫ""   Квартирник."	25.0	8.0	557.0	popsa	2маши	29057.0	20.0	0.0	795
#2Маши  - Красное Белое [ AUDIO ]	55.0	85.0	1567.0	popsa	2маши	186665.0	41.0	0.0	244
#2Маши  Фотосессия #backstage	9.0	6.0	210.0	popsa	2маши	13556.0	6.0	0.0	845
"#2Маши ""Босая""  ТИЗЕР"	11.0	9.0	235.0	popsa	2маши	18726.0	9.0	0.0	350
"#2Маши ""Босая"" ( КАРАОКЕ )"	17.0	26.0	523.0	popsa	2маши	48935.0	10.0	0.0	184
"#2Маши ""Босая"" (Акустика LIVE) Живой звуК"	376.0	232.0	5449.0	popsa	2маши	285153.0	148.0	10.0	210
"#2Маши ""Босая"" [ репетиция для Вечернего УРГАНТА"" ]"	176.0	81.0	1282.0	popsa	2маши	88921.0	72.0	0.0	180
"#2Маши ""Вселенная У."""	47.0	52.0	1444.0	popsa	2маши	276347.0	33.0	0.0	923
"#2Маши ""МАМА, Я ТАНЦУЮ "" [ ПРЕМЬЕРА КЛИПА ]"	4090.0	14079.0	162063.0	popsa	2маши	38074573.0	934.0	35.0	105
"#2Маши ""Мама, я танцую"" ПРЕМЬЕРА  [ AUDIO ]"	284.0	602.0	7840.0	popsa	2маши	1994064.0	150.0	1.0	108
"#2Маши ""Мир раскололся на 2 части"" [Live Session]"	43.0	38.0	1894.0	popsa	2маши	171065.0	24.0	0.0	547
"#2Маши ""Мы выбираем"" Backstage !!"	3.0	1.0	77.0	popsa	2маши	5342.0	3.0	0.0	938
"#2Маши ""Мы выбираем"" ТИЗЕР"	3.0	2.0	27.0	popsa	2маши	2359.0	1.0	0.0	976
"#2Маши ""Наше кино про поездку в Таллин"" [ Март 2018 ]"	486.0	159.0	2665.0	popsa	2маши	189689.0			60
"#2Маши ""Птицы"""	103.0	136.0	3640.0	popsa	2маши	775708.0	60.0	3.0	1283
"#2Маши ""СВОБОДНЫЕ ЛИНИИ"" VOLTA"	2.0	1.0	44.0	popsa	2маши	3611.0	2.0	0.0	794
"#2Маши ""Теперь нас двое"" LIVE Session"	12.0	8.0	200.0	popsa	2маши	12022.0	11.0	0.0	540
"#2Маши ""Теперь нас двое"" улично Питерский  вариант"	17.0	5.0	370.0	popsa	2маши	12642.0	13.0	0.0	940
"#2Маши ""Тут тебя жду тебя я """	15.0	13.0	424.0	popsa	2маши	56509.0	7.0	1.0	1122
"#2Маши ""Факты""  [ официальный клип ]"	360.0	465.0	7947.0	popsa	2маши	909663.0	257.0	4.0	168
"#2Маши ""Я К ТЕБЕ"""	53.0	55.0	1112.0	popsa	2маши	212675.0	31.0	0.0	685
"#2Маши ""с приветом с чудо острова Koh Phangan"""	0.0	2.0	112.0	popsa	2маши	8025.0			1144
#2Маши -  Босая ( Lyric Video / Лирик Видео ) ПРЕМЬЕРА	78.0	239.0	2495.0	popsa	2маши	484388.0	53.0	3.0	649
"#2Маши - ""Мы голосуем"""	1.0	1.0	67.0	popsa	2маши	2891.0	1.0	0.0	927
"#2Маши - ""СТЕРВЫ"""	13.0	17.0	376.0	popsa	2маши	34770.0	12.0	1.0	902
"#2Маши - ""Тут тебя жду тебя я"""	743.0	1477.0	24814.0	popsa	2маши	5846024.0	425.0	9.0	867
#2Маши - 16Тонн	5.0	4.0	132.0	popsa	2маши	9304.0	3.0	0.0	1033
#2Маши - Босая	7644.0	35087.0	263755.0	popsa	2маши	115832162.0	1181.0	60.0	349
#2Маши - Босая	459.0	1536.0	13809.0	popsa	2маши	3396401.0	1181.0	60.0	568
#2Маши - ВРЕМЯ [ Премьера 2017 ]	457.0	496.0	12404.0	popsa	2маши	3066623.0	301.0	6.0	534
#2Маши - Выступление в ночном  клубе	2.0	2.0	54.0	popsa	2маши	2864.0	2.0	0.0	1032
#2Маши - Красное Белое	1101.0	3089.0	37561.0	popsa	2маши	12752964.0	499.0	13.0	239
#2Маши - Мы выбираем (live)	30.0	16.0	544.0	popsa	2маши	37480.0	25.0	0.0	377
#2Маши - Мы выбираем (клип)	638.0	1908.0	20740.0	popsa	2маши	7384538.0	322.0	7.0	962
