Symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Headquarters Location	Date first added	CIK	Founded	S&P-500	NASDAQ	DJI
BLL	Ball Corp	reports	Materials	Metal & Glass Containers	Broomfield, Colorado	31.10.84	9389.0	1880	True	False	False
BMRN	BioMarin Pharmaceutical, Inc.								False	True	False
BMY	Bristol-Myers Squibb	reports	Health Care	Health Care Distributors	New York, New York	04.03.57	14272.0	1989	True	False	False
BR	Broadridge Financial Solutions	reports	Information Technology	Data Processing & Outsourced Services	Lake Success, New York	18.06.18	1383312.0	1962	True	False	False
BRK.B	Berkshire Hathaway	reports	Financials	Multi-Sector Holdings	Omaha, Nebraska	16.02.10	1067983.0	1839	True	False	False
BSX	Boston Scientific	reports	Health Care	Health Care Equipment	Marlborough, Massachusetts[4]	24.02.95	885725.0	1979	True	False	False
BWA	BorgWarner	reports	Consumer Discretionary	Auto Parts & Equipment	Auburn Hills, Michigan	19.12.11	908255.0	1880	True	False	False
BXP	Boston Properties	reports	Real Estate	Office REITs	Boston, Massachusetts	03.04.06	1037540.0	1970	True	False	False
C	Citigroup Inc.	reports	Financials	Diversified Banks	New York, New York	31.05.88	831001.0	1998	True	False	False
CAG	Conagra Brands	reports	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	31.08.83	23217.0	1919	True	False	False
CAH	Cardinal Health Inc.	reports	Health Care	Health Care Distributors	Dublin, Ohio	27.05.97	721371.0	1971	True	False	False
CARR	Carrier Global	reports	Industrials	Building Products	Palm Beach Gardens, Florida	03.04.20	1783180.0	1915	True	False	False
CAT	Caterpillar Inc.	reports	Industrials	Construction Machinery & Heavy Trucks	Deerfield, Illinois	04.03.57	18230.0	1925	True	False	True
CB	Chubb Limited	reports	Financials	Property & Casualty Insurance	Zurich, Switzerland	15.07.10	896159.0	1985	True	False	False
CBOE	Cboe Global Markets	reports	Financials	Financial Exchanges & Data	Chicago, Illinois	01.03.17	1374310.0	1973	True	False	False
CBRE	CBRE Group	reports	Real Estate	Real Estate Services	Los Angeles, California	10.11.06	1138118.0	1906	True	False	False
CCI	Crown Castle International Corp.	reports	Real Estate	Specialized REITs	Houston, Texas	14.03.12	1051470.0	1994	True	False	False
CCL	Carnival Corp.	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	22.12.98	815097.0	1972	True	False	False
CDNS	Cadence Design Systems	reports	Information Technology	Application Software	San Jose, California	18.09.17	813672.0	1988	True	True	False
CDW	CDW	reports	Information Technology	Technology Distributors	Lincolnshire, Illinois	23.09.19	1402057.0	1984	True	True	False
CE	Celanese	reports	Materials	Specialty Chemicals	Irving, Texas	24.12.18	1306830.0	1918	True	False	False
CERN	Cerner	reports	Health Care	Health Care Technology	North Kansas City, Missouri	30.04.10	804753.0	1979	True	True	False
CF	CF Industries Holdings Inc	reports	Materials	Fertilizers & Agricultural Chemicals	Deerfield, Illinois	27.08.08	1324404.0	1946	True	False	False
CFG	Citizens Financial Group	reports	Financials	Regional Banks	Providence, Rhode Island	29.01.16	759944.0	1828	True	False	False
CHD	Church & Dwight	reports	Consumer Staples	Household Products	Ewing, New Jersey	29.12.15	313927.0	1847	True	False	False
CHKP	Check Point Software Technologies Ltd.								False	True	False
CHRW	C. H. Robinson Worldwide	reports	Industrials	Air Freight & Logistics	Eden Prairie, Minnesota	02.03.07	1043277.0	1905	True	False	False
CHTR	Charter Communications	reports	Communication Services	Cable & Satellite	Stamford, Connecticut	08.09.16	1091667.0	1993	True	True	False
CI	CIGNA Corp.	reports	Health Care	Managed Health Care	Bloomfield, Connecticut	30.06.76	701221.0	1982	True	False	False
CINF	Cincinnati Financial	reports	Financials	Property & Casualty Insurance	Fairfield, Ohio	18.12.97	20286.0	1950	True	False	False
CL	Colgate-Palmolive	reports	Consumer Staples	Household Products	New York, New York	04.03.57	21665.0	1806	True	False	False
CLX	The Clorox Company	reports	Consumer Staples	Household Products	Oakland, California	31.03.69	21076.0	1913	True	False	False
CMA	Comerica Inc.	reports	Financials	Diversified Banks	Dallas, Texas	01.12.95	28412.0	1849	True	False	False
CMCSA	Comcast Corp.	reports	Communication Services	Cable & Satellite	Philadelphia, Pennsylvania	18.09.15	1166691.0	1963	True	True	False
CME	CME Group Inc.	reports	Financials	Financial Exchanges & Data	Chicago, Illinois	11.08.06	1156375.0	1848	True	False	False
CMG	Chipotle Mexican Grill	reports	Consumer Discretionary	Restaurants	Newport Beach, California	28.04.11	1058090.0	1993	True	False	False
CMI	Cummins Inc.	reports	Industrials	Industrial Machinery	Columbus, Indiana	31.03.65	26172.0	1919	True	False	False
CMS	CMS Energy	reports	Utilities	Multi-Utilities	Jackson, Michigan	03.05.99	811156.0	1886	True	False	False
CNC	Centene Corporation	reports	Health Care	Managed Health Care	St. Louis, Missouri	30.03.16	1071739.0	1984	True	False	False
CNP	CenterPoint Energy	reports	Utilities	Multi-Utilities	Houston, Texas	31.07.85	1130310.0	1882	True	False	False
COF	Capital One Financial	reports	Financials	Consumer Finance	Tysons Corner, Virginia	01.07.98	927628.0	1935	True	False	False
COG	Cabot Oil & Gas	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	23.06.08	858470.0	1989	True	False	False
COO	The Cooper Companies	reports	Health Care	Health Care Supplies	San Ramon, California	23.09.16	711404.0	1958	True	False	False
COP	ConocoPhillips	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	04.03.57	1163165.0	2002	True	False	False
COST	Costco Wholesale Corp.	reports	Consumer Staples	Hypermarkets & Super Centers	Issaquah, Washington	01.10.93	909832.0	1976	True	True	False
COTY	Coty, Inc	reports	Consumer Staples	Personal Products	New York, New York	03.10.16	1024305.0	1904	True	False	False
CPB	Campbell Soup	reports	Consumer Staples	Packaged Foods & Meats	Camden, New Jersey	04.03.57	16732.0	1869	True	False	False
CPRT	Copart Inc	reports	Industrials	Diversified Support Services	Dallas, Texas	02.07.18	900075.0	1982	True	True	False
CRM	Salesforce.com	reports	Information Technology	Application Software	San Francisco, California	15.09.08	1108524.0	1999	True	False	False
CSCO	Cisco Systems	reports	Information Technology	Communications Equipment	San Jose, California	01.12.93	858877.0	1984	True	True	True
CSX	CSX Corp.	reports	Industrials	Railroads	Jacksonville, Florida	30.09.67	277948.0	1980	True	True	False
CTAS	Cintas Corporation	reports	Industrials	Diversified Support Services	Mason, Ohio	01.03.01	723254.0	1929	True	True	False
CTL	CenturyLink Inc	reports	Communication Services	Alternative Carriers	Monroe, Louisiana	25.03.99	18926.0	1877	True	False	False
CTSH	Cognizant Technology Solutions	reports	Information Technology	IT Consulting & Other Services	Teaneck, New Jersey	17.11.06	1058290.0	1994	True	True	False
CTVA	Corteva	reports	Materials	Fertilizers & Agricultural Chemicals	Wilmington, Delaware	03.06.19	1755672.0	2019	True	False	False
CTXS	Citrix Systems	reports	Information Technology	Application Software	Fort Lauderdale, Florida	01.12.99	877890.0	1989	True	True	False
CVS	CVS Health	reports	Health Care	Health Care Services	Woonsocket, Rhode Island	04.03.57	64803.0	1996	True	False	False
CVX	Chevron Corp.	reports	Energy	Integrated Oil & Gas	San Ramon, California	04.03.57	93410.0	1879	True	False	True
CXO	Concho Resources	reports	Energy	Oil & Gas Exploration & Production	Midland, Texas	22.02.16	1358071.0	2004	True	False	False
D	Dominion Energy	reports	Utilities	Electric Utilities	Richmond, Virginia		715957.0	1983	True	False	False
DAL	Delta Air Lines Inc.	reports	Industrials	Airlines	Atlanta, Georgia	11.09.13	27904.0	1929	True	False	False
DD	DuPont de Nemours Inc	reports	Materials	Specialty Chemicals	Midland, Michigan	02.04.19	1666700.0	2017	True	False	False
DE	Deere & Co.	reports	Industrials	Agricultural & Farm Machinery	Moline, Illinois	04.03.57	315189.0	1837	True	False	False
DFS	Discover Financial Services	reports	Financials	Consumer Finance	Riverwoods, Illinois	02.07.07	1393612.0	1985	True	False	False
DG	Dollar General	reports	Consumer Discretionary	General Merchandise Stores	Goodlettsville, Tennessee	03.12.12	29534.0	1939	True	False	False
DGX	Quest Diagnostics	reports	Health Care	Health Care Services	Secaucus, New Jersey	12.12.02	1022079.0	1967	True	False	False
DHI	D. R. Horton	reports	Consumer Discretionary	Homebuilding	Fort Worth, Texas	22.06.05	882184.0	1978	True	False	False
DHR	Danaher Corp.	reports	Health Care	Health Care Equipment	Washington, D.C.		313616.0	1969	True	False	False
DIS	The Walt Disney Company	reports	Communication Services	Movies & Entertainment	Burbank, California	30.06.76	1001039.0	1923	True	False	True
DISCA	Discovery, Inc. (Class A)	reports	Communication Services	Broadcasting	Silver Spring, Maryland	01.03.10	1437107.0	1985	True	False	False
DISCK	Discovery, Inc. (Class C)	reports	Communication Services	Broadcasting	Silver Spring, Maryland	07.08.14	1437107.0	1985	True	False	False
DISH	Dish Network	reports	Communication Services	Cable & Satellite	Meridian, Colorado	13.03.17	1001082.0	1980	True	False	False
DLR	Digital Realty Trust Inc	reports	Real Estate	Specialized REITs	San Francisco, California	18.05.16	1297996.0	2004	True	False	False
DLTR	Dollar Tree	reports	Consumer Discretionary	General Merchandise Stores	Chesapeake, Virginia	19.12.11	935703.0	1986	True	True	False
DOCU	DocuSign								False	True	False
DOV	Dover Corporation	reports	Industrials	Industrial Machinery	Downers Grove, Illinois	31.10.85	29905.0	1955	True	False	False
DOW	Dow Inc.	reports	Materials	Commodity Chemicals	Midland, Michigan	01.04.19	1751788.0	2019	True	False	True
DPZ	Domino's Pizza	reports	Consumer Discretionary	Restaurants	Ann Arbor, Michigan	12.05.20	1286681.0	1960	True	False	False
DRE	Duke Realty Corp	reports	Real Estate	Industrial REITs	Indianapolis, Indiana	26.07.17	783280.0	1972	True	False	False
DRI	Darden Restaurants	reports	Consumer Discretionary	Restaurants	Orlando, Florida		940944.0	1938	True	False	False
DTE	DTE Energy Co.	reports	Utilities	Multi-Utilities	Detroit, Michigan	04.03.57	936340.0	1995	True	False	False
DUK	Duke Energy	reports	Utilities	Electric Utilities	Charlotte, North Carolina	30.06.76	1326160.0	1904	True	False	False
DVA	DaVita Inc.	reports	Health Care	Health Care Facilities	Denver, Colorado	31.07.08	927066.0	1979	True	False	False
DVN	Devon Energy	reports	Energy	Oil & Gas Exploration & Production	Oklahoma City, Oklahoma	30.08.00	1090012.0	1971	True	False	False
DXC	DXC Technology	reports	Information Technology	IT Consulting & Other Services	Tysons Corner, Virginia	04.04.17	1688568.0	2017	True	False	False
DXCM	DexCom	reports	Health Care	Health Care Equipment	San Diego, California	12.05.20	1093557.0	1999	True	True	False
EA	Electronic Arts	reports	Communication Services	Interactive Home Entertainment	Redwood City, California	22.07.02	712515.0	1982	True	True	False
EBAY	eBay Inc.	reports	Consumer Discretionary	Internet & Direct Marketing Retail	San Jose, California		1065088.0	1995	True	True	False
ECL	Ecolab Inc.	reports	Materials	Specialty Chemicals	St. Paul, Minnesota	31.01.89	31462.0	1923	True	False	False
ED	Consolidated Edison	reports	Utilities	Electric Utilities	New York, New York		1047862.0	1823	True	False	False
EFX	Equifax Inc.	reports	Industrials	Research & Consulting Services	Atlanta, Georgia	19.06.97	33185.0	1899	True	False	False
EIX	Edison Int'l	reports	Utilities	Electric Utilities	Rosemead, California	04.03.57	827052.0	1886	True	False	False
EL	Estée Lauder Companies	reports	Consumer Staples	Personal Products	New York, New York	05.01.06	1001250.0	1946	True	False	False
EMN	Eastman Chemical	reports	Materials	Diversified Chemicals	Kingsport, Tennessee	01.01.94	915389.0	1920	True	False	False
EMR	Emerson Electric Company	reports	Industrials	Electrical Components & Equipment	Ferguson, Missouri	31.03.65	32604.0	1890	True	False	False
EOG	EOG Resources	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	02.11.00	821189.0	1999	True	False	False
EQIX	Equinix	reports	Real Estate	Specialized REITs	Redwood City, California	20.03.15	1101239.0	1998	True	False	False
EQR	Equity Residential	reports	Real Estate	Residential REITs	Chicago, Illinois	03.12.01	906107.0	1969	True	False	False
ES	Eversource Energy	reports	Utilities	Multi-Utilities	Springfield, Massachusetts		72741.0	1966	True	False	False
ESS	Essex Property Trust, Inc.	reports	Real Estate	Residential REITs	San Mateo, California	02.04.14	920522.0	1971	True	False	False
ETFC	E*Trade	reports	Financials	Investment Banking & Brokerage	New York, New York	31.03.04	1015780.0	1982	True	False	False
ETN	Eaton Corporation	reports	Industrials	Electrical Components & Equipment	Dublin, Ireland		1551182.0	1911	True	False	False
ETR	Entergy Corp.	reports	Utilities	Electric Utilities	New Orleans, Louisiana	04.03.57	65984.0	1913	True	False	False
EVRG	Evergy	reports	Utilities	Electric Utilities	Kansas City, Missouri	05.06.18	1711269.0	1909	True	False	False
EW	Edwards Lifesciences	reports	Health Care	Health Care Equipment	Irvine, California	01.04.11	1099800.0	1958	True	False	False
EXC	Exelon Corp.	reports	Utilities	Multi-Utilities	Chicago, Illinois	04.03.57	1109357.0	2000	True	True	False
EXPD	Expeditors	reports	Industrials	Air Freight & Logistics	Seattle, Washington	10.10.07	746515.0	1979	True	False	False
EXPE	Expedia Group	reports	Consumer Discretionary	Internet & Direct Marketing Retail	Seattle, Washington	02.10.07	1324424.0	1996	True	True	False
EXR	Extra Space Storage	reports	Real Estate	Specialized REITs	Salt Lake City, Utah	19.01.16	1289490.0	1977	True	False	False
F	Ford Motor Company	reports	Consumer Discretionary	Automobile Manufacturers	Dearborn, Michigan	04.03.57	37996.0	1903	True	False	False
FANG	Diamondback Energy	reports	Energy	Oil & Gas Exploration & Production	Midland, Texas	03.12.18	1539838.0	2007	True	False	False
FAST	Fastenal Co	reports	Industrials	Building Products	Winona, Minnesota	15.09.08	815556.0	1967	True	True	False
FB	Facebook, Inc.	reports	Communication Services	Interactive Media & Services	Menlo Park, California	23.12.13	1326801.0	2004	True	True	False
FBHS	Fortune Brands Home & Security	reports	Industrials	Building Products	Deerfield, Illinois	22.06.16	1519751.0	1969	True	False	False
FCX	Freeport-McMoRan Inc.	reports	Materials	Copper	Phoenix, Arizona		831259.0	1912	True	False	False
FDX	FedEx Corporation	reports	Industrials	Air Freight & Logistics	Memphis, Tennessee	31.12.80	1048911.0	1971	True	False	False
FE	FirstEnergy Corp	reports	Utilities	Electric Utilities	Akron, Ohio		1031296.0	1997	True	False	False
FFIV	F5 Networks	reports	Information Technology	Communications Equipment	Seattle, Washington	20.12.10	1048695.0	1996	True	False	False
FIS	Fidelity National Information Services	reports	Information Technology	Data Processing & Outsourced Services	Jacksonville, Florida	10.11.06	1136893.0	1968	True	False	False
FISV	Fiserv Inc	reports	Information Technology	Data Processing & Outsourced Services	Brookfield, Wisconsin	02.04.01	798354.0	1984	True	True	False
FITB	Fifth Third Bancorp	reports	Financials	Regional Banks	Cincinnati, Ohio		35527.0	1858	True	False	False
FLIR	FLIR Systems	reports	Information Technology	Electronic Equipment & Instruments	Wilsonville, Oregon	02.01.09	354908.0	1978	True	False	False
FLS	Flowserve Corporation	reports	Industrials	Industrial Machinery	Irving, Texas	02.10.08	30625.0	1997	True	False	False
FLT	FleetCor Technologies Inc	reports	Information Technology	Data Processing & Outsourced Services	Norcross, Georgia	20.06.18	1175454.0	2000	True	False	False
FMC	FMC Corporation	reports	Materials	Fertilizers & Agricultural Chemicals	Philadelphia, Pennsylvania	19.08.09	37785.0	1883	True	False	False
FOX	Fox Corporation (Class B)	reports	Communication Services	Movies & Entertainment	New York, New York	18.09.15	1308161.0		True	True	False
FOXA	Fox Corporation (Class A)	reports	Communication Services	Movies & Entertainment	New York, New York	01.07.13	1308161.0		True	True	False
FRC	First Republic Bank	reports	Financials	Regional Banks	San Francisco, California	02.01.19	1132979.0	1985	True	False	False
FRT	Federal Realty Investment Trust	reports	Real Estate	Retail REITs	Rockville, Maryland	01.02.16	34903.0	1962	True	False	False
FTI	TechnipFMC	reports	Energy	Oil & Gas Equipment & Services	London, United Kingdom	05.06.09	1681459.0	1958	True	False	False
FTNT	Fortinet	reports	Information Technology	Systems Software	Sunnyvale, California	11.10.18	1262039.0	2000	True	False	False
FTV	Fortive Corp	reports	Industrials	Industrial Machinery	Everett, Washington	01.07.16	1659166.0	2016	True	False	False
GD	General Dynamics	reports	Industrials	Aerospace & Defense	Falls Church, Virginia	04.03.57	40533.0	1899	True	False	False
GE	General Electric	reports	Industrials	Industrial Conglomerates	Boston, Massachusetts		40545.0	1892	True	False	False
GILD	Gilead Sciences	reports	Health Care	Biotechnology	Foster City, California	01.07.04	882095.0	1987	True	True	False
GIS	General Mills	reports	Consumer Staples	Packaged Foods & Meats	Golden Valley, Minnesota	31.03.69	40704.0	1856	True	False	False
GL	Globe Life Inc.	reports	Financials	Life & Health Insurance	McKinney, Texas	30.04.89	320335.0	1900	True	False	False
GLW	Corning Inc.	reports	Information Technology	Electronic Components	Corning, New York		24741.0	1851	True	False	False
GM	General Motors	reports	Consumer Discretionary	Automobile Manufacturers	Detroit, Michigan	06.06.13	1467858.0	1908	True	False	False
GOOG	Alphabet Inc. (Class C)	reports	Communication Services	Interactive Media & Services	Mountain View, California	03.04.06	1652044.0	1998	True	True	False
GOOGL	Alphabet Inc. (Class A)	reports	Communication Services	Interactive Media & Services	Mountain View, California	03.04.14	1652044.0	1998	True	True	False
GPC	Genuine Parts	reports	Consumer Discretionary	Specialty Stores	Atlanta, Georgia	31.12.73	40987.0	1925	True	False	False
GPN	Global Payments Inc.	reports	Information Technology	Data Processing & Outsourced Services	Atlanta, Georgia	25.04.16	1123360.0	2000	True	False	False
GPS	Gap Inc.	reports	Consumer Discretionary	Apparel Retail	San Francisco, California	31.08.86	39911.0	1969	True	False	False
GRMN	Garmin Ltd.	reports	Consumer Discretionary	Consumer Electronics	Schaffhausen, Switzerland	12.12.12	1121788.0	1989	True	False	False
GS	Goldman Sachs Group	reports	Financials	Investment Banking & Brokerage	New York, New York	22.07.02	886982.0	1869	True	False	True
GWW	Grainger (W.W.) Inc.	reports	Industrials	Industrial Machinery	Lake Forest, Illinois	30.06.81	277135.0	1927	True	False	False
HAL	Halliburton Co.	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas	04.03.57	45012.0	1919	True	False	False
HAS	Hasbro Inc.	reports	Consumer Discretionary	Leisure Products	Pawtucket, Rhode Island	30.09.84	46080.0	1923	True	False	False
HBAN	Huntington Bancshares	reports	Financials	Regional Banks	Columbus, Ohio		49196.0	1866	True	False	False
HBI	Hanesbrands Inc	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Winston-Salem, North Carolina	20.03.15	1359841.0	2000	True	False	False
HCA	HCA Healthcare	reports	Health Care	Health Care Facilities	Nashville, Tennessee	27.01.15	860730.0	1968	True	False	False
HD	Home Depot	reports	Consumer Discretionary	Home Improvement Retail	Atlanta, Georgia	31.03.88	354950.0	1978	True	False	True
HES	Hess Corporation	reports	Energy	Integrated Oil & Gas	New York, New York	31.05.84	4447.0	1919	True	False	False
HFC	HollyFrontier Corp	reports	Energy	Oil & Gas Refining & Marketing	Dallas, Texas	18.06.18	48039.0	1947	True	False	False
HIG	Hartford Financial Svc.Gp.	reports	Financials	Property & Casualty Insurance	Hartford, Connecticut	04.03.57	874766.0	1810	True	False	False
HII	Huntington Ingalls Industries	reports	Industrials	Aerospace & Defense	Newport News, Virginia	03.01.18	1501585.0	2011	True	False	False
