Time	Group
0	ILEC
25.15	ILEC
50.57	ILEC
0	ILEC
0	ILEC
0	ILEC
15.22	ILEC
21.28	ILEC
6.23	ILEC
25.32	ILEC
29.98	ILEC
0.1	ILEC
25.13	ILEC
23.47	ILEC
7.03	ILEC
1.25	ILEC
18.67	ILEC
0	ILEC
0	ILEC
23.72	ILEC
24.72	ILEC
2.45	ILEC
4.25	ILEC
10.03	ILEC
17.98	ILEC
0	ILEC
24.52	ILEC
0	ILEC
59.43	ILEC
0.35	ILEC
22.52	ILEC
19.95	ILEC
0	ILEC
0	ILEC
0.18	ILEC
0	ILEC
0	ILEC
0.48	ILEC
0	ILEC
0	ILEC
0.05	ILEC
0.05	ILEC
0.32	ILEC
42.37	ILEC
0	ILEC
48.4	ILEC
0	ILEC
41.32	ILEC
50.77	ILEC
98.42	ILEC
21.92	ILEC
0	ILEC
0	ILEC
0.07	ILEC
70.05	ILEC
2.63	ILEC
0.02	ILEC
4.47	ILEC
5.3	ILEC
68.72	ILEC
1.88	ILEC
73.68	ILEC
0.25	ILEC
0.93	ILEC
0	ILEC
6.32	ILEC
57.38	ILEC
0	ILEC
0	ILEC
19.52	ILEC
19.67	ILEC
17.65	ILEC
24.17	ILEC
1.8	ILEC
21.37	ILEC
15.88	ILEC
18.47	ILEC
5.47	ILEC
28.57	ILEC
1.97	ILEC
6.07	ILEC
0	ILEC
0	ILEC
23.6	ILEC
24.18	ILEC
21.52	ILEC
22.22	ILEC
0	ILEC
14.22	ILEC
21.6	ILEC
24.58	ILEC
24.57	ILEC
23.25	ILEC
0	ILEC
0	ILEC
26.83	ILEC
24.2	ILEC
24.25	ILEC
1.62	ILEC
0	ILEC
171.35	ILEC
45.3	ILEC
26.27	ILEC
0	ILEC
18.18	ILEC
7.33	ILEC
40.1	ILEC
13	ILEC
0	ILEC
0	ILEC
0.02	ILEC
3.58	ILEC
29.78	ILEC
0	ILEC
32.85	ILEC
18.33	ILEC
17.9	ILEC
0	ILEC
30.37	ILEC
1.63	ILEC
0	ILEC
0.07	ILEC
27.83	ILEC
0	ILEC
17.62	ILEC
48.43	ILEC
27.38	ILEC
20.13	ILEC
18.57	ILEC
20.9	ILEC
21.33	ILEC
19.27	ILEC
0	ILEC
18.98	ILEC
19.62	ILEC
0	ILEC
0	ILEC
0	ILEC
0.35	ILEC
0	ILEC
45.83	ILEC
17.48	ILEC
0	ILEC
0	ILEC
26.68	ILEC
0	ILEC
6.1	ILEC
50.27	ILEC
0	ILEC
2.78	ILEC
0.03	ILEC
0	ILEC
24.97	ILEC
0	ILEC
0.27	ILEC
20.03	ILEC
0	ILEC
46	ILEC
2.47	ILEC
25.88	ILEC
2.8	ILEC
20.95	ILEC
1.45	ILEC
27.23	ILEC
18.98	ILEC
45.27	ILEC
5.32	ILEC
25.75	ILEC
3.82	ILEC
3.57	ILEC
3.12	ILEC
17.38	ILEC
17.42	ILEC
1.73	ILEC
27.33	ILEC
24.18	ILEC
15.28	ILEC
1.23	ILEC
25.67	ILEC
6.27	ILEC
0	ILEC
0	ILEC
6.37	ILEC
7.38	ILEC
26.37	ILEC
0	ILEC
2.53	ILEC
0.02	ILEC
5.77	ILEC
0	ILEC
0	ILEC
0	ILEC
48.58	ILEC
4.23	ILEC
0	ILEC
5.32	ILEC
5.17	ILEC
2.45	ILEC
0	ILEC
6.42	ILEC
15	ILEC
4.28	ILEC
18.85	ILEC
1.3	ILEC
0	ILEC
0	ILEC
27.13	ILEC
2.53	ILEC
23.53	ILEC
0	ILEC
0.27	ILEC
47.27	ILEC
36.85	ILEC
68.57	ILEC
0.48	ILEC
0	ILEC
2.95	ILEC
0.08	ILEC
2.38	ILEC
0	ILEC
2.83	ILEC
30.83	ILEC
5.53	ILEC
0	ILEC
0	ILEC
48.23	ILEC
0	ILEC
67.7	ILEC
0	ILEC
19.2	ILEC
0	ILEC
0	ILEC
0	ILEC
1.2	ILEC
0	ILEC
6.28	ILEC
0	ILEC
68.2	ILEC
0	ILEC
0	ILEC
20.93	ILEC
69.8	ILEC
3.7	ILEC
5.82	ILEC
0	ILEC
1.1	ILEC
7.83	ILEC
0	ILEC
102	ILEC
0	ILEC
2.38	ILEC
70.4	ILEC
0.07	ILEC
0	ILEC
1	ILEC
1.18	ILEC
22.2	ILEC
0.68	ILEC
0.12	ILEC
0	ILEC
23.03	ILEC
0.1	ILEC
0	ILEC
5.27	ILEC
5.12	ILEC
0	ILEC
1.95	ILEC
25.6	ILEC
81.23	ILEC
4.2	ILEC
12.28	ILEC
109.68	ILEC
0	ILEC
20.97	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
26.53	ILEC
3	ILEC
0	ILEC
19.8	ILEC
1.98	ILEC
20.42	ILEC
4.03	ILEC
22.27	ILEC
1.52	ILEC
0.7	ILEC
0	ILEC
0	ILEC
0	ILEC
139.58	ILEC
15.92	ILEC
6.32	ILEC
0	ILEC
21.25	ILEC
46.93	ILEC
19.65	ILEC
17.3	ILEC
0	ILEC
2.83	ILEC
0	ILEC
0.07	ILEC
19.02	ILEC
22.42	ILEC
1.18	ILEC
2.55	ILEC
0.63	ILEC
30.42	ILEC
0	ILEC
14.47	ILEC
0.03	ILEC
0.67	ILEC
4.6	ILEC
0.8	ILEC
0	ILEC
2.47	ILEC
27.7	ILEC
1.08	ILEC
0	ILEC
4.58	ILEC
0.55	ILEC
0	ILEC
2.43	ILEC
18.72	ILEC
1.67	ILEC
24.15	ILEC
19.45	ILEC
23.07	ILEC
17.32	ILEC
19.87	ILEC
16.53	ILEC
21.7	ILEC
22.32	ILEC
0	ILEC
3.97	ILEC
24.05	ILEC
21.77	ILEC
6.05	ILEC
6.1	ILEC
0	ILEC
16.4	ILEC
0	ILEC
16.92	ILEC
21.95	ILEC
2.08	ILEC
17.28	ILEC
2.5	ILEC
18.52	ILEC
20.4	ILEC
18.4	ILEC
0	ILEC
16.68	ILEC
0	ILEC
0	ILEC
22.83	ILEC
7.5	ILEC
0	ILEC
0	ILEC
23	ILEC
18.95	ILEC
15.25	ILEC
21.08	ILEC
5.85	ILEC
22.52	ILEC
0	ILEC
19.72	ILEC
22.27	ILEC
22.55	ILEC
5.35	ILEC
26.7	ILEC
0	ILEC
0	ILEC
18.18	ILEC
18.28	ILEC
0	ILEC
0.53	ILEC
0	ILEC
5.57	ILEC
2.2	ILEC
2.63	ILEC
14.58	ILEC
0.47	ILEC
0	ILEC
25.5	ILEC
19.27	ILEC
5.07	ILEC
4.57	ILEC
0	ILEC
0	ILEC
29.7	ILEC
19.1	ILEC
0	ILEC
5.35	ILEC
12.67	ILEC
0	ILEC
19.5	ILEC
1.05	ILEC
6.08	ILEC
21.87	ILEC
22.1	ILEC
24.97	ILEC
0	ILEC
0	ILEC
23.53	ILEC
2.53	ILEC
0.53	ILEC
16.08	ILEC
1.1	ILEC
18.38	ILEC
0	ILEC
22.75	ILEC
6.48	ILEC
23.6	ILEC
4.42	ILEC
0	ILEC
5.52	ILEC
30.9	ILEC
14.98	ILEC
3.75	ILEC
24.13	ILEC
3.28	ILEC
0	ILEC
5.12	ILEC
2.57	ILEC
12	ILEC
2.13	ILEC
1.38	ILEC
9.75	ILEC
0	ILEC
0	ILEC
22.22	ILEC
24.33	ILEC
24.63	ILEC
25.35	ILEC
20	ILEC
14.33	ILEC
14.25	ILEC
14.25	ILEC
14.22	ILEC
14.2	ILEC
14.2	ILEC
14.18	ILEC
14.17	ILEC
14.02	ILEC
13.8	ILEC
13.68	ILEC
13.65	ILEC
13.6	ILEC
12.95	ILEC
12.9	ILEC
12.87	ILEC
12.28	ILEC
11.95	ILEC
11.75	ILEC
11.27	ILEC
9.33	ILEC
9.25	ILEC
8.87	ILEC
8.43	ILEC
8.17	ILEC
7.67	ILEC
7.63	ILEC
7.63	ILEC
7.55	ILEC
7.5	ILEC
7.48	ILEC
7.37	ILEC
7.3	ILEC
7.25	ILEC
7.18	ILEC
7.17	ILEC
7.08	ILEC
7.08	ILEC
6.95	ILEC
6.93	ILEC
6.9	ILEC
6.9	ILEC
6.88	ILEC
6.85	ILEC
6.85	ILEC
6.83	ILEC
6.83	ILEC
6.7	ILEC
6.68	ILEC
6.63	ILEC
6.63	ILEC
6.63	ILEC
6.55	ILEC
6.52	ILEC
6.52	ILEC
6.5	ILEC
6.47	ILEC
6.47	ILEC
6.4	ILEC
6.35	ILEC
6.33	ILEC
6.27	ILEC
6.27	ILEC
6.27	ILEC
6.23	ILEC
6.22	ILEC
6.15	ILEC
6.15	ILEC
6.12	ILEC
6.1	ILEC
6.08	ILEC
6.07	ILEC
6.07	ILEC
6.03	ILEC
6.02	ILEC
6	ILEC
6	ILEC
5.98	ILEC
5.97	ILEC
5.95	ILEC
5.92	ILEC
5.92	ILEC
5.88	ILEC
5.87	ILEC
5.83	ILEC
5.78	ILEC
5.78	ILEC
5.73	ILEC
5.73	ILEC
5.73	ILEC
5.72	ILEC
5.72	ILEC
5.7	ILEC
5.68	ILEC
5.67	ILEC
5.67	ILEC
5.65	ILEC
5.65	ILEC
5.65	ILEC
5.63	ILEC
5.62	ILEC
5.6	ILEC
5.6	ILEC
5.58	ILEC
5.57	ILEC
5.55	ILEC
5.53	ILEC
5.53	ILEC
5.52	ILEC
5.5	ILEC
5.5	ILEC
5.43	ILEC
5.43	ILEC
5.43	ILEC
5.42	ILEC
5.37	ILEC
5.37	ILEC
5.33	ILEC
5.32	ILEC
5.3	ILEC
5.23	ILEC
5.23	ILEC
5.2	ILEC
5.2	ILEC
5.18	ILEC
5.18	ILEC
5.17	ILEC
5.15	ILEC
5.12	ILEC
5.07	ILEC
5.05	ILEC
5.05	ILEC
5.05	ILEC
5.03	ILEC
5	ILEC
5	ILEC
4.98	ILEC
4.97	ILEC
4.97	ILEC
4.95	ILEC
4.93	ILEC
4.93	ILEC
4.93	ILEC
4.92	ILEC
4.92	ILEC
4.92	ILEC
4.9	ILEC
4.88	ILEC
4.87	ILEC
4.85	ILEC
4.82	ILEC
4.8	ILEC
4.8	ILEC
4.77	ILEC
4.77	ILEC
4.75	ILEC
4.72	ILEC
4.7	ILEC
4.7	ILEC
4.7	ILEC
4.67	ILEC
4.65	ILEC
4.63	ILEC
4.62	ILEC
4.6	ILEC
4.6	ILEC
4.6	ILEC
4.6	ILEC
4.58	ILEC
4.58	ILEC
4.58	ILEC
4.58	ILEC
4.57	ILEC
4.57	ILEC
4.55	ILEC
4.53	ILEC
4.5	ILEC
4.47	ILEC
4.47	ILEC
4.47	ILEC
4.45	ILEC
4.45	ILEC
4.43	ILEC
4.43	ILEC
4.43	ILEC
4.43	ILEC
4.43	ILEC
4.42	ILEC
4.42	ILEC
4.4	ILEC
4.38	ILEC
4.38	ILEC
4.38	ILEC
4.38	ILEC
4.37	ILEC
4.37	ILEC
4.35	ILEC
4.33	ILEC
4.33	ILEC
4.33	ILEC
4.33	ILEC
4.32	ILEC
4.32	ILEC
4.32	ILEC
4.28	ILEC
4.28	ILEC
4.28	ILEC
4.28	ILEC
4.27	ILEC
4.27	ILEC
4.23	ILEC
4.22	ILEC
4.22	ILEC
4.2	ILEC
4.2	ILEC
4.2	ILEC
4.18	ILEC
4.18	ILEC
4.18	ILEC
4.17	ILEC
4.17	ILEC
4.17	ILEC
4.15	ILEC
4.13	ILEC
4.13	ILEC
4.13	ILEC
4.12	ILEC
4.12	ILEC
4.12	ILEC
4.12	ILEC
4.12	ILEC
4.1	ILEC
4.1	ILEC
4.1	ILEC
4.08	ILEC
4.08	ILEC
4.08	ILEC
4.07	ILEC
4.07	ILEC
4.05	ILEC
4.03	ILEC
4.03	ILEC
3.98	ILEC
3.98	ILEC
3.98	ILEC
3.95	ILEC
3.95	ILEC
3.95	ILEC
3.95	ILEC
3.95	ILEC
3.93	ILEC
3.93	ILEC
3.93	ILEC
3.93	ILEC
3.92	ILEC
3.92	ILEC
3.92	ILEC
3.87	ILEC
3.87	ILEC
3.87	ILEC
3.87	ILEC
3.85	ILEC
3.85	ILEC
3.85	ILEC
3.83	ILEC
3.8	ILEC
3.78	ILEC
3.78	ILEC
3.78	ILEC
3.78	ILEC
3.78	ILEC
3.77	ILEC
3.73	ILEC
3.73	ILEC
3.72	ILEC
3.72	ILEC
3.72	ILEC
3.7	ILEC
3.68	ILEC
3.68	ILEC
3.67	ILEC
3.65	ILEC
3.65	ILEC
3.65	ILEC
3.65	ILEC
3.65	ILEC
3.63	ILEC
3.62	ILEC
3.62	ILEC
3.6	ILEC
3.6	ILEC
3.6	ILEC
3.58	ILEC
3.53	ILEC
3.53	ILEC
3.52	ILEC
3.5	ILEC
3.5	ILEC
3.5	ILEC
3.5	ILEC
3.48	ILEC
3.48	ILEC
3.47	ILEC
3.43	ILEC
3.43	ILEC
3.42	ILEC
3.42	ILEC
3.4	ILEC
3.4	ILEC
3.35	ILEC
3.35	ILEC
3.35	ILEC
3.33	ILEC
3.33	ILEC
3.33	ILEC
3.32	ILEC
3.32	ILEC
3.3	ILEC
3.27	ILEC
3.25	ILEC
3.23	ILEC
3.22	ILEC
3.22	ILEC
3.22	ILEC
3.22	ILEC
3.18	ILEC
3.18	ILEC
3.17	ILEC
3.17	ILEC
3.15	ILEC
3.13	ILEC
3.13	ILEC
3.12	ILEC
3.12	ILEC
3.12	ILEC
3.12	ILEC
3.12	ILEC
3.1	ILEC
3.1	ILEC
3.08	ILEC
3.08	ILEC
3.07	ILEC
3.07	ILEC
3.05	ILEC
3.02	ILEC
3.02	ILEC
3.02	ILEC
3	ILEC
2.98	ILEC
2.98	ILEC
2.95	ILEC
2.95	ILEC
2.95	ILEC
2.95	ILEC
2.95	ILEC
2.93	ILEC
2.9	ILEC
2.9	ILEC
2.88	ILEC
2.88	ILEC
2.87	ILEC
2.65	ILEC
2.62	ILEC
2.62	ILEC
2.62	ILEC
2.62	ILEC
2.6	ILEC
0	ILEC
7.45	ILEC
6.8	ILEC
6.53	ILEC
6.4	ILEC
6.37	ILEC
6.37	ILEC
6.28	ILEC
5.97	ILEC
5.82	ILEC
5.78	ILEC
5.72	ILEC
5.48	ILEC
5.38	ILEC
5.17	ILEC
5	ILEC
4.55	ILEC
2.58	ILEC
2.57	ILEC
2.55	ILEC
2.55	ILEC
2.53	ILEC
2.52	ILEC
2.5	ILEC
2.48	ILEC
2.48	ILEC
2.48	ILEC
2.47	ILEC
2.47	ILEC
2.45	ILEC
2.43	ILEC
2.4	ILEC
2.4	ILEC
2.4	ILEC
2.4	ILEC
2.4	ILEC
2.4	ILEC
2.38	ILEC
2.37	ILEC
2.37	ILEC
2.37	ILEC
2.37	ILEC
2.35	ILEC
2.35	ILEC
2.33	ILEC
2.33	ILEC
2.32	ILEC
2.32	ILEC
2.32	ILEC
2.3	ILEC
2.28	ILEC
2.28	ILEC
2.28	ILEC
2.27	ILEC
2.25	ILEC
2.25	ILEC
2.25	ILEC
2.25	ILEC
2.25	ILEC
2.22	ILEC
2.22	ILEC
2.22	ILEC
2.2	ILEC
2.2	ILEC
2.2	ILEC
2.18	ILEC
2.17	ILEC
2.17	ILEC
2.15	ILEC
2.15	ILEC
2.13	ILEC
2.13	ILEC
2.12	ILEC
2.08	ILEC
2.08	ILEC
2.02	ILEC
2.02	ILEC
2.02	ILEC
2	ILEC
2	ILEC
2	ILEC
1.98	ILEC
1.98	ILEC
1.98	ILEC
1.98	ILEC
1.98	ILEC
1.98	ILEC
1.98	ILEC
1.97	ILEC
1.97	ILEC
1.95	ILEC
1.93	ILEC
1.93	ILEC
1.93	ILEC
1.93	ILEC
1.92	ILEC
1.9	ILEC
1.9	ILEC
1.77	ILEC
1.75	ILEC
1.75	ILEC
1.75	ILEC
1.75	ILEC
1.73	ILEC
1.73	ILEC
1.72	ILEC
1.7	ILEC
1.7	ILEC
1.7	ILEC
1.68	ILEC
1.65	ILEC
1.65	ILEC
1.65	ILEC
1.63	ILEC
1.62	ILEC
1.62	ILEC
1.62	ILEC
1.62	ILEC
1.6	ILEC
1.6	ILEC
1.6	ILEC
1.6	ILEC
1.6	ILEC
1.58	ILEC
1.58	ILEC
1.57	ILEC
1.57	ILEC
1.57	ILEC
1.57	ILEC
1.55	ILEC
1.55	ILEC
1.55	ILEC
1.55	ILEC
1.53	ILEC
1.53	ILEC
1.53	ILEC
1.52	ILEC
1.52	ILEC
1.5	ILEC
1.5	ILEC
1.5	ILEC
1.48	ILEC
1.48	ILEC
1.47	ILEC
1.45	ILEC
1.45	ILEC
1.43	ILEC
1.43	ILEC
1.43	ILEC
1.42	ILEC
1.4	ILEC
1.4	ILEC
1.38	ILEC
1.38	ILEC
1.37	ILEC
1.37	ILEC
1.37	ILEC
1.37	ILEC
1.35	ILEC
1.32	ILEC
1.32	ILEC
1.3	ILEC
1.28	ILEC
1.28	ILEC
1.28	ILEC
1.28	ILEC
1.25	ILEC
1.25	ILEC
1.25	ILEC
1.22	ILEC
1.22	ILEC
1.2	ILEC
1.2	ILEC
1.2	ILEC
1.18	ILEC
1.18	ILEC
1.18	ILEC
1.18	ILEC
1.17	ILEC
1.13	ILEC
1.12	ILEC
1.12	ILEC
1.12	ILEC
1.1	ILEC
1.1	ILEC
1.08	ILEC
1.08	ILEC
1.08	ILEC
1.08	ILEC
1.08	ILEC
1.07	ILEC
1.05	ILEC
1.05	ILEC
1.05	ILEC
1.03	ILEC
1.03	ILEC
1.03	ILEC
1.02	ILEC
1.02	ILEC
1	ILEC
0.98	ILEC
0.97	ILEC
0.95	ILEC
0.95	ILEC
0.95	ILEC
0.93	ILEC
0.92	ILEC
0.92	ILEC
0.9	ILEC
5.63	ILEC
4.95	ILEC
4.82	ILEC
4.8	ILEC
4.33	ILEC
4.22	ILEC
3.75	ILEC
3.13	ILEC
2.88	ILEC
2.72	ILEC
2.72	ILEC
2.57	ILEC
2.25	ILEC
1.5	ILEC
0.9	ILEC
4.17	ILEC
3	ILEC
2.7	ILEC
1.82	ILEC
0.9	ILEC
0.88	ILEC
0.88	ILEC
0.88	ILEC
0.87	ILEC
0.87	ILEC
0.87	ILEC
0.85	ILEC
0.85	ILEC
0.85	ILEC
0.83	ILEC
0.83	ILEC
0.8	ILEC
0.8	ILEC
0.8	ILEC
0.78	ILEC
0.78	ILEC
0.78	ILEC
0.77	ILEC
0.77	ILEC
0.75	ILEC
0.75	ILEC
0.75	ILEC
0.73	ILEC
0.73	ILEC
0.73	ILEC
0.73	ILEC
0.72	ILEC
0.72	ILEC
0.72	ILEC
0.7	ILEC
0.68	ILEC
0.68	ILEC
0.68	ILEC
0.68	ILEC
0.67	ILEC
0.67	ILEC
0.67	ILEC
0.67	ILEC
0.65	ILEC
0.65	ILEC
0.65	ILEC
0.62	ILEC
0.62	ILEC
0.62	ILEC
0.62	ILEC
0.6	ILEC
0.6	ILEC
0.58	ILEC
0.58	ILEC
0.55	ILEC
0.53	ILEC
0.53	ILEC
0.52	ILEC
0.5	ILEC
0.5	ILEC
0.48	ILEC
0.47	ILEC
0.47	ILEC
0.47	ILEC
0.45	ILEC
0.45	ILEC
0.45	ILEC
0.43	ILEC
0.43	ILEC
0.42	ILEC
0.38	ILEC
0.37	ILEC
0.35	ILEC
0.35	ILEC
0.33	ILEC
0.3	ILEC
0.25	ILEC
0.25	ILEC
0.25	ILEC
0.25	ILEC
0.25	ILEC
0.23	ILEC
0.22	ILEC
0.22	ILEC
21.25	ILEC
9.48	ILEC
7.47	ILEC
6.9	ILEC
6.45	ILEC
6.18	ILEC
5.73	ILEC
5.73	ILEC
5.73	ILEC
5.72	ILEC
5.7	ILEC
5.7	ILEC
5.7	ILEC
5.68	ILEC
5.05	ILEC
5.02	ILEC
5.02	ILEC
5.02	ILEC
0.2	ILEC
0.2	ILEC
0.18	ILEC
0.17	ILEC
0.15	ILEC
0.15	ILEC
0.15	ILEC
0.12	ILEC
0.12	ILEC
0.1	ILEC
0.08	ILEC
0.08	ILEC
0.07	ILEC
0.05	ILEC
0.03	ILEC
8	ILEC
7.33	ILEC
5.08	ILEC
5	ILEC
4.98	ILEC
4.97	ILEC
4.97	ILEC
4.97	ILEC
4.97	ILEC
4.95	ILEC
4.93	ILEC
4.92	ILEC
4.92	ILEC
4.9	ILEC
4.88	ILEC
4.88	ILEC
4.88	ILEC
4.85	ILEC
4.85	ILEC
4.18	ILEC
4.05	ILEC
4.03	ILEC
4.02	ILEC
4	ILEC
3.98	ILEC
3.97	ILEC
3.95	ILEC
3.95	ILEC
3.93	ILEC
3.93	ILEC
3.92	ILEC
3.88	ILEC
3.85	ILEC
3.85	ILEC
3.77	ILEC
3.7	ILEC
2.58	ILEC
2.58	ILEC
7.08	ILEC
0.65	ILEC
0.65	ILEC
0.63	ILEC
2.58	ILEC
2.53	ILEC
1.33	ILEC
2.4	ILEC
2.37	ILEC
2.35	ILEC
0.07	ILEC
0.07	ILEC
0.05	ILEC
0.08	ILEC
0.05	ILEC
0.03	ILEC
0.08	ILEC
0.07	ILEC
0.03	ILEC
0.07	ILEC
0.03	ILEC
0.03	ILEC
0.03	ILEC
0.05	ILEC
0.05	ILEC
6.77	ILEC
26.5	ILEC
15.18	ILEC
0	ILEC
0	ILEC
41.08	ILEC
18.02	ILEC
0.07	ILEC
8.17	ILEC
4.67	ILEC
7.82	ILEC
14.92	ILEC
44.15	ILEC
0	ILEC
0.07	ILEC
0.07	ILEC
9.17	ILEC
5.82	ILEC
0	ILEC
2.73	ILEC
0.05	ILEC
0.05	ILEC
0.53	ILEC
0.13	ILEC
46.7	ILEC
25.18	ILEC
1.03	ILEC
5.98	ILEC
1.22	ILEC
0.05	ILEC
0.05	ILEC
8.05	ILEC
7.52	ILEC
0.07	ILEC
0.07	ILEC
0.07	ILEC
3.02	ILEC
0.08	ILEC
0.08	ILEC
0.03	ILEC
65.1	ILEC
0	ILEC
0	ILEC
48.3	ILEC
44.43	ILEC
0.07	ILEC
0	ILEC
0	ILEC
4.02	ILEC
0.03	ILEC
0.05	ILEC
0.07	ILEC
0	ILEC
52.37	ILEC
28.85	ILEC
3.53	ILEC
0.1	ILEC
0	ILEC
6.4	ILEC
0.02	ILEC
0	ILEC
0	ILEC
0.95	ILEC
0	ILEC
67.62	ILEC
76.17	ILEC
0.07	ILEC
0.18	ILEC
24.37	ILEC
0	ILEC
0.87	ILEC
0	ILEC
0	ILEC
0	ILEC
22.73	ILEC
16.85	ILEC
21.57	ILEC
0.07	ILEC
0	ILEC
21.92	ILEC
19.32	ILEC
0.33	ILEC
25.63	ILEC
3.22	ILEC
16.73	ILEC
0	ILEC
24.1	ILEC
43.95	ILEC
16.18	ILEC
0	ILEC
19.45	ILEC
19.77	ILEC
18.92	ILEC
0.07	ILEC
3.33	ILEC
17.15	ILEC
4.5	ILEC
29.15	ILEC
0.05	ILEC
3.02	ILEC
42.6	ILEC
26.03	ILEC
0.67	ILEC
20.03	ILEC
0	ILEC
70.6	ILEC
21.03	ILEC
4.58	ILEC
3.07	ILEC
26.47	ILEC
26.5	ILEC
53.7	ILEC
22.25	ILEC
24.33	ILEC
5.15	ILEC
4.27	ILEC
0.17	ILEC
25.98	ILEC
0	ILEC
26.38	ILEC
3.12	ILEC
19.4	ILEC
0	ILEC
0	ILEC
1.82	ILEC
2.67	ILEC
1.65	ILEC
0.02	ILEC
0	ILEC
0	ILEC
19.77	ILEC
0	ILEC
25.63	ILEC
5.2	ILEC
2.88	ILEC
2.03	ILEC
0.5	ILEC
22.28	ILEC
0	ILEC
0.03	ILEC
22.62	ILEC
21.1	ILEC
17.8	ILEC
1.45	ILEC
4.3	ILEC
0.27	ILEC
3.85	ILEC
28.22	ILEC
0	ILEC
15.67	ILEC
16.63	ILEC
24.03	ILEC
0	ILEC
3.7	ILEC
27.05	ILEC
22.57	ILEC
1.07	ILEC
1.4	ILEC
51.68	ILEC
28.17	ILEC
19.77	ILEC
26.9	ILEC
16.53	ILEC
15.25	ILEC
0	ILEC
0	ILEC
0.12	ILEC
0.02	ILEC
22.08	ILEC
1.05	ILEC
0	ILEC
0	ILEC
0.4	ILEC
0.25	ILEC
16.88	ILEC
6.38	ILEC
0	ILEC
16.38	ILEC
0.43	ILEC
0	ILEC
0	ILEC
0.17	ILEC
1.85	ILEC
0	ILEC
25.17	ILEC
3.28	ILEC
21.88	ILEC
20.47	ILEC
0.02	ILEC
