Time	Location	Type_of_bomb	Damage	x	y
1:10	91 Ardgowan Road, Catford SE6, London, UK	IB	landing on 1st floor damaged	-0.025584	51.443299
1:14	Chadwick road, Peckham, SE15, London, UK	EB & IB	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	9 Love Walk, Camberwell, SE5, London, UK	-	Minor fire damage in all these thoroughfares	-0.094081	51.479005
1:14	27 Claude Road, Peckham SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	33 Claude Road, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	190 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	290 Southampton Way, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	77 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	75 Rye Lane, Peckham, SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.069359	51.470046
1:14	66 East Surrey Grove, Peckham SE15, London, UK	-	Minor fire damage in all these thoroughfares	-0.065882	51.467796
1:14	91 Coleman Road, Camberwell, SE5, London, UK	-	Minor fire damage in all these thoroughfares	-0.094081	51.479005
1:52	58 Brownhill Road, Catford, London, UK	-	IB (unexploded) on enclosed ground at rear of premises	-0.025584	51.443299
2:00	7 Nunhead Green, Camberwell, SE15, London, UK	EB	house of 5 rooms and content severely damaged	-0.092284	51.472997
2:16	727, Old Kent Road, Camberwell, SE15, London, UK	IB	shop (bakery) and house of 6 rooms back room, ceiling and roof damaged.	-0.092284	51.472997
2:16	52 Brownhill Road , London, UK	-	Falling Shrapnel	-0.12766	51.507351
2:20	84 Tressillain Road, Brockley SE4, London, UK	-	Falling Shrapnel	-0.037594	51.464609
2:23	83 Grange Road, Bermondsey, SE1, London, UK	IB	Grocer: front room 1st floor and contents slightly damaged. 4x2 roof damaged	-0.054303	51.487794
2:25	52 Southwark Park Road, SE16, London, UK	IB	Furniture dealer 30x20 building and contents damaged	-0.12766	51.507351
3:15	12, Jewell Street, Mile End. E1, London, UK	IB	6 x 4ft of roof damage.	-0.0417	51.522569
3:45	12 Harford St, Stepney E1, London, UK	IB	a building of 3 floors about 80 x 50ft and contents severely damaged	-0.038951	51.520501
5:15	Hazelbank Road, Catford SE6, London, UK	-	2x2 roadway damage	-0.025584	51.443299
5:15	Plough Way, SE16, London, UK	IB	Timber importers, 200x150 buildings, canteen, workshops etc, dmaged,	-0.12766	51.507351
5:20	Plough Way, SE16, London, UK	EB	Buildings damaged	-0.12766	51.507351
5:57	28 Ringstead Road, Catford, SE6, London, UK	-	2x2 roadway damage	-0.025584	51.443299
7:49	786 Old Kent Road, Camberwell, SE15, London, UK	IB	shop (tobacconist) and house of 6 rooms back room, ceiling and roof damaged.	-0.092284	51.472997
8:00	7, Devonshire Grove, SE15, London, UK	IB	maritime engineers building of two floors 80x60 severely damaged.	-0.158696	51.642933
8:00	Bromley Road, Catford, SE6, London, UK	IB	IB on enclosed ground 	-0.00239	51.445095
8:02	42 Brown Hill Road, Catford, SE6, London, UK	-	2x2 roadway damage	-0.025584	51.443299
10:04	39 Loampit Vale, Lewisham SE13, London, UK	-	unexploded bomb on enclosed ground at rear of premises	-0.012567	51.455849
10:04	19 Vivian Roan, Bethnal Green E2, London, UK	IB	4x3 ft of wooden fencing damaged in yard	-0.064283	51.532296
10:42	Milton Court Road, New Cross, Se14, London, UK	IB	IB burned out in street	-0.039086	51.475246
12:00	39 Gilmore Road, Lewisham SE13, London, UK	-	unexplodedbomb on enclosed ground at rear of premises	-0.012567	51.455849
12:45	3 Drivers Buildings, Mile End Rd E1, London, UK	IB	House of 4 rooms, top floor and contents damaged. Part of roof off	-0.0417	51.522569
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	(Owned by H.M War Department) E.50 A building of 2 floors about 300x200 used as workrooms,, machine rooms office and store damaged by explosion	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.51 Two floor building 200x80, where insturments were stored severely damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.2, 3, 6 and 7, A over a two acre factory space was severely damaged, demolished	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.40 a two floor storage building 120x80 severely damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	D.94, 95 and 96 A range of buildings of one and two floors used as turney, forges and store, severely damaged.	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.135 and 136, 400x400 buildings used as laboratories and store severely damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.151 to 164A, 14 buildings each about 450x60 used as stores, large amount of stock on open ground covering about a quarter square mile, severely damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	24 buiidings all slightly damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.2, a range of buildings damaged covering 250x100. Area used as explosive works and stores, severely damaged.	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	A.75 A building of 4 floors and basement 250 x200 used as offices and stores amaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	E.31a  two floor 150x60 storage building damaged	0.069557	51.490104
14:55	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	Total casualties, 49 males killed, 67 males injured.	0.069557	51.490104
16:40	Newby Place, Poplar E14, London, UK	IB	Poplar Public Hall. Building of 2 floors 80x60 . 5/6 Severely damaged, most of roof off.	-0.017068	51.507693
16:57	Lakedale Road and plumstead High Street SE18, London, UK	EB	Two people killed, several injured. Buildingd damaged.	-0.12766	51.507351
17:03	70 Croft Street Deptford, SE8, London, UK	IB	back rooms 1st floor damaged	-0.026878	51.479117
17:03	41 Windmill Lane, Deptford, Se8, London, UK	Eb	Dairy shop and 15 private houses damaged	-0.355329	51.506987
17:05	61 Basildon Road Abbey Wood, SE2, London, UK	EB	2 private houses damaged	0.120105	51.491035
17:05	35 Basildon Road, Abbey Wood, SE2, London, UK	EB	41 private houses damaged.	0.120105	51.491035
17:05	Basildon Road, Abbey Wood, SE2, London, UK	EB	"South Met Gas Company, 18"" gas main, 20 ft of electric cables, 30x20 roadway damage."	0.120105	51.491035
17:07	Cordelia Street, Poplar E14, London, UK	IB	Number of IB burned out on road	-0.017068	51.507693
17:07	13 Cordelia Street, Poplar, E14, London, UK	IB	House of 6 rooms and contents severely damaged	-0.017068	51.507693
17:12	Poplar High Street, Poplar, E14, London, UK	EB	St. Mathias Church. 30x20 paveing damaged. 40 feet of brink and some iron railings damaged	-0.014211	51.50891
17:12	The Vicarage, Poplar, E14, London, UK	EB	Damaged by explosion	-0.017068	51.507693
17:15	Colin Street, Bromley-By-Bow E3, London, UK	IB	12 private houses of about 6 rooms and contents severely damaged	-0.184613	51.457931
17:15	Empson St, Bromley-By-Bow E3, London, UK	IB	Berger Hall Central Church and Medical Mission back building of 1 and 2 floors about 70 x 50ft (used as Mission Hall) and contents severely damaged. Collapsed and fallen down	-0.184613	51.457931
17:15	Marner St School, Marner Street E3, London, UK	IB	A building of 3 floors about 150 x 80 feet about 2/3 of contents severely damaged. Most part of roof off. doors and window glass damaged by breakage	-0.184613	51.457931
17:15	St. Leonards Wharf, Bromley E3, London, UK	IB	 Unoccupied Sun Flour Mills Co. LTD. About 30 x 20 ft of deck planking damaged. Building of 3 floors about 80 x 60 ft( used as grain store) about 3/4 severely damaged. Most part of roof off.	0.01891	51.399647
17:15	242 Brunswick Rd, Poplar, E14, London, UK	IB	Wine and Spirit Merchants. Building of 3 floors about 80x 40ft used as bottling stores. 4/5 of 3rd floor and contents severely damaged. Most part of roof off.	-0.14718	51.623965
17:15	242, Brunswick Rd, Poplar, E14, London, UK	IB	One half of 2nd floor slightly damaged by water, window glass damaged by breakage.	-0.14718	51.623965
17:15	240 Brunswick Rd, Poplar, E14, London, UK	IB	Wine Growers- Building of 3 floors about 300x 60ft ( used as wine stores) about 2/3 of top floor and contents severely damaged. Most part of roof off. Contents under slightly by water.	-0.14718	51.623965
17:15	240 Brunswick Rd, Poplar, E14, London, UK	IB	A building of 4 floors about 100 x 60 ft, fourth floor severely damaged. Most part of roof off.	-0.14718	51.623965
17:15	Empson St Bromley E3, London, UK	IB	About 200 tons of electric power cable and a quantity of electric apparatus damaged.	0.018173	51.400176
17:15	Colin Street, Bromley-By-Bow, E3, London, UK	IB	Timber yard of 15 acres with 200 stacks of timber, 2dumb barges, 2 motor lorries, a tractor, 4 cars, and a range of 1-4 floor buildings, (used as workspace, sawmills, offices, canteens, garages and stores). About 5/6 severely damaged and part roof off.	-0.184613	51.457931
17:23	Friendsliy Place, Greenwhich SE10, London, UK	EB	A. Gilbey & Sons, printing and ink manufacturers. Workshopds office and storage damaged	-0.007492	51.480323
17:24	26, Bruce Road, Poplar, Greater London E3 3, London, UK	IB	House of 8 rooms, first floor and contents slightly damaged. Contents under slightly by water, doors and window glass by breakage.	0.049713	51.503685
17:24	141 Albert Road, North Woolwich E16, London, UK	IB	Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off	-0.131594	51.601364
17:24	143 Albert Road, North Woolwich E16, London, UK	IB	Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off	-0.131594	51.601364
17:24	145 Albert Road, North Woolwich E16, London, UK	IB	Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off	-0.131594	51.601364
17:24	147 Albert Road, North Woolwich E16, London, UK	IB	Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off	-0.131594	51.601364
17:30	9 Sevenoaks Road Brokerley SE4, London, UK	IB	IB burned out in garden	0.112442	51.344687
17:30	11 Sevenoaks Road, Brockley, SE4, London, UK	IB	Front room on 1st floor severely damaged	0.112442	51.344687
17:30	Bruce RD, Bromley E3, London, UK	IB	IB bomb burned out on road	0.018173	51.400176
17:31	Bruce RD, Bromley E3, London, UK	IB	IB bomb burned out on road	0.018173	51.400176
17:31	46 Bruce Rd, Bromley E3, London, UK	IB	House of 8 rooms, 2 back rooms on first floor and contents slightly damaged.	0.018173	51.400176
17:33	142 Foxberry Road, Brockley, SE4, London, UK	IB	Back room on 1st floor and contents damaged	-0.037594	51.464609
17:34	75 ComerfordRoad Brockley se4, London, UK	IB	IB on enclosed ground at rear of premises	-0.037594	51.464609
17:35	Royal Arsenal, Woolwich, SE18, London, UK	EB & IB	Many buildings in there sections damaged by explosion and fire	0.069557	51.490104
17:35	Creek Bridge, Creek Road, Greenwich SE10, London, UK	EB	Owned by London County Council10x6 of carriage way	-0.007492	51.480323
17:35	Three Mill Lane, Greater London E3 3, London, UK	IB	A number of IB bombs burned out on road	-0.108031	51.500966
17:36	Edward Street SE14, London, UK	Crude oil bomb	4x6 roadway and paving damage	-0.12766	51.507351
17:36	35 Colwick Street Deptford SE8, London, UK	EB	front room on 1st floor damaged. 	-0.026878	51.479117
17:36	Deptford Park, Evelyn Street, Deptford, SE8, London, UK	IB	Many IB burnt out in park	-0.039625	51.486543
17:40	Church hill Woolwich, SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.063394	51.487138
17:40	Kingsman Street, Woolwich, SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.026473	51.487356
17:40	Sunsbury Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.026473	51.487356
17:40	Glenalvon Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.026473	51.487356
17:40	Woolwich Church Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.063394	51.487138
17:40	Artillery Place, Wollwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	-0.077965	51.51855
17:40	Powis Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.026473	51.487356
17:40	Chapel Hill, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.052533	51.491534
17:40	Woolwich high Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.063394	51.487138
17:40	John Wilson Street, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.063394	51.487138
17:40	Plumstead Road, Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	0.063394	51.487138
17:40	Paradise Place Woolwich SE18, London, UK	IB	Minor fire damage in all these thoroughfares	-0.302732	51.460002
17:41	14, Three Mill Lane, Greater London, E3, London, UK	IB	House of 8 rooms, front and middle room on first floor and contents damaged. 	-0.184613	51.457931
17:42	1 Reeves Road, Bow, E3, London, UK	IB	House of 4 rooms, severely damaged	-0.020715	51.528032
17:43	Ebenezer Place, Chrisp Street, Poplar, E14, London, UK	EB	30x20 roadway and paving damaged. Electric power cables destroyed	-0.017068	51.507693
17:43	120 Chrisp Street, Poplar, E14, London, UK	EB	Shop and house of 7 rooms  and contents severely damaged 	-0.017068	51.507693
17:44	Wotton Way, Deptford, SE8, London, UK	IB	IB burned out in street	-0.026878	51.479117
17:45	18 Sevenoaks Road, Crofton park, SE4, London, UK	IB	Front room on 1st floor severely damaged	0.112442	51.344687
17:45	8 Sevenoaks Road Crofton Park, SE4, London, UK	IB	Front room on 1st floor severely damaged	0.112442	51.344687
17:45	112 Foxberry Road, Brockley, London, UK	IB	front room above shop and contents damaged	-0.037594	51.464609
17:45	Reeves Road, Bow, E3, London, UK	IB	Number of IB burned out on road	-0.020715	51.528032
17:45	4 Pier Road, North Woolwich, E16 , London, UK	IB	Front room on 1st floor and contents damaged.	0.062208	51.498667
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	HM War Dept. Block 47- A building og three floors about 250 x 80 used as store and contents damaged	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Block 49- Abuilding of 2 floors 250x60 storage damaged.	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Block 52- 80x50 two floor building, used as acid store severely damaged	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Block 67 three floor 150x60 roof and contents damaged	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Block 221, 50x40 office and store damaged. Roof off	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Block 149 50x40 used as dwelling and store severely damaged and part of roof off.	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Two timber shed buildings  each 20x10, two railway trucks and contents damaged	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Bloock 225- 80x50 one floor building , used as workrooms and store	0.052533	51.491534
17:46	Royal Dockyard, Woolwich, London, UK	EB & IB	Motor lorry damaged by fire	0.052533	51.491534
17:46	Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK	EB & IB	Two floor building 100x 40, used as work rooms, top floor and contents damaged	0.053297	51.492897
17:46	Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK	EB & IB	One floor building 60x40 ft used as workroom office and store	0.053297	51.492897
17:46	Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK	EB & IB	A house of 7 rooms, top floor and contents severely damaged art of roof off	0.053297	51.492897
17:46	Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK	EB & IB	Storage building of one floor 60x20 	0.053297	51.492897
17:47	Bowater Road, Woolwich SE18, London, UK	EB & IB	"Owned by Siemens Bros. & Co., Ltd. Electrical cable manufacturers""L"" block- 6 floors and basement 80x40, workrooms offices and store, 3 upper foors cona contents damaged. Three other buildings damaged."	0.026473	51.487356
17:50	Samuel Street, Woolwich SE18, London, UK	EB	16 private houses damaged	0.026473	51.487356
17:50	13 Walerand Road Lewisham, SE13, London, UK	EB	South Met Gas Company, three houses, gas pipes and gas destroyed	-0.012567	51.455849
17:50	Honor Oak Road, Forest Hill SE23, London, UK	EB	Owned by Lewisham BC 6x3 Roadway damage	-0.053288	51.438796
17:51	Devons Road, Bromley, E3, London, UK	IB	St. Andew's Hospital. 100x50 three floor building, roofing and joisting damaged by fire. 100x22 three floor building roofing and joisting damaged. 50x20 one floor building damaged. 40x20 plumbers workshop . 1/6 contents damaged. A number of IB burned out in hospital grounds.	-0.017355	51.522361
17:51	Empson Street, Bromley, E3, London, UK	IB	Berger Hall Central Church and Medical Mission 120x80 lecture hall and club rooms, contents severely damaged.	0.018173	51.400176
17:51	Albert Road, North Wollwich, E16, London, UK	IB	12x6 wooden fencing and railway cutting away damaged	-0.131594	51.601364
17:52	Brewery Wharf, Creek Road, Greenwich, SE10, London, UK	EB	Headley's Wharf, Ltd.20x15 of quayside damaged by explosion	-0.007492	51.480323
17:52	Hyde Vale Greenwich S10, London, UK	Crashed aircraft	HM War Dept. Royal Air Force. An aeroplane damaged by fire by explosion and breakage	-0.008381	51.480497
17:52	Catherine Grove, Greenwich SE10, London, UK	IB	London Auxiliary Fire Service: Medium trailer pump of content damaged. Tar and brickwork damaged in yard	-0.018712	51.47454
17:52	70 Crooms Hill, Greenwich SE10, London, UK	IB	Ladies School. Ursuline Convent 10x4 roof damage	-0.016044	51.478018
17:52	 West Ferry Road, Millwall, E14, London, UK	EB &IB	Thames Oil Wharft, Ltd. 1000, 45 gallonmineral oil drums and three oil tanks (40 tons each) and two, 2 foor buildings, contents and machinery all damaged.	-0.024488	51.496497
17:52	 West Ferry Road, Millwall, E14, London, UK	EB &IB	Timber storage. 2 Tarpaulins burned and a 20x 10 stack or timberand an iron shed all damaged	-0.024488	51.496497
17:53	457 Brockley Road, Brockley SE4, London, UK	IB	Back room on ground floor and contents damaged	-0.037594	51.464609
17:53	Glebe Terrace, Bow E3, London, UK	IB	Front room on first floor and contents slightly damaged. Roof by breakage	-0.184613	51.457931
17:54	Conduit House, Hyde Vale, Greenwich SE10, London, UK	IB	15x5 roof damage to house that had been let out as flats	-0.177983	51.526895
17:54	Bexley Road Eltham, SE9, London, UK	IB	10x6 GRASS burned	0.161769	51.472116
17:54	599 Manchester Road, Cubitt Town, E14, London, UK	IB	Private house of 9 room s damaged by fire	-0.008696	51.494675
17:55	47 Lewisham Road SE10, London, UK	EB	Hairdressers, Severley damaged	-0.12766	51.507351
17:55	Hollyhedge House, Blackheath, SE3, London, UK	IB	HM War Dept 2x1 damage	0.008471	51.465742
17:55	117 Sedgeway, Catford, SE6, London, UK	EB 	Private house of 6 rooms damaged	-0.025584	51.443299
17:55	30 Brandham Road, Lee Se12, London, UK	Ib	roof damaged by fire	0.015092	51.449642
17:55	1 Elliot park, Blackheath, SE3, London, UK	EB & IB	four houses, each with 12 rooms slightly damaged	0.008471	51.465742
17:55	Brandham Road, Lee, SE12, London, UK	-	top floor contents damaged	0.015092	51.449642
17:55	25 Dowanhill Road, Catford, Se6, London, UK	-	Unexploded bomb at rear of premises, not yet detonated	-0.025584	51.443299
17:55	Alms House, Brandham, Lee, SE12, London, UK	-	two unexploded bombs	0.015092	51.449642
17:55	Tunnel Avenue, Greenwich, SE10, London, UK	EB	building of one room and tro floors severley damaged	-0.007492	51.480323
17:55	34 Grantley Street, Mile End E1, London, UK	IB	House of 6 rooms, first floor and contents severely damaged. Part of roof off.	-0.0417	51.522569
17:57	27, Elsdale Street, Hackney, E9, London, UK	IB	Back room on second floor and contents damaged. Roof damaged by breakage	-0.052974	51.545914
17:57	40 Harford Street, Stepney, E1, London, UK	IB	House of 5 rooms and contents severely damaged	-0.038951	51.520501
17:57	 Garnett Street Stepney E1, London, UK	EB and IB	Minor fire and explosion damage	-0.052569	51.517155
17:57	North Woolwich Road E16, London, UK	IB	Victualler Barge House60x40 two floor building, used as victuallers and contents damaged. 	0.03057	51.502367
17:58	Gervase Street, Camberwell, SE16, London, UK	IB	2x1 roadway damage	-0.094081	51.479005
17:58	Crofton Park Railway Station, Brockley, SE4, London, UK	IB	(Southern Railway) IB on Track	-0.035681	51.464699
17:58	100 Skidmore Street, Stepney E1, London, UK	IB	A timber shed building about 20 x 10ft (used as a store) and contents damaged	-0.052569	51.517155
17:59	Surrey Commercial Docks, SE16, London, UK	IB	Port of London, timber yards, warehouses, offices and stores, covering 120 acres, including 10 shops and small craft of about 30 000 tons gross. 4/5 of content damaged.  Roofs off. Two firemen killed and four injured	-0.060385	51.310046
17:59	250 Silver Walk, Rotherhithe Street, Se16, London, UK	IB	block of mofel dwellings damaged by explosion. 	-0.045149	51.505227
17:59	660 Rotherhithe Street, Se16, London, UK	IB	4 floor buildings, covering 1/2 mile, severely damaged	-0.045149	51.505227
17:59	Milbourne St, Hackney E9, London, UK	IB	Slipper manufacturer- building of 1 and 2 floors about 80 x 60 feet, used as workrooms, offices and stores severely damaged. Most part of roof off and door and window glass broken	-0.052974	51.545914
17:59	Arnold Road, Bow E3, London, UK	IB	Back room on first floor and contents slightly damaged. Roof by breakage	-0.020715	51.528032
17:59	West Ferry Road, Millwall, E14, London, UK	EB	20 ft of railway track and a building of one floor80x40 damaged	-0.024488	51.496497
18:00	8 Lanbury Road, Camberwell SE15, London, UK	IB	front room of 1st floor damaged	-0.094081	51.479005
18:00	Thornham Street Greenwich SE10, London, UK	EB	20 private houses damaged	-0.007492	51.480323
18:00	46-48 Comerford Road, 41-53 Comerford Road, Brockley, SE4, London, UK	EB	two buildings damged	-0.037594	51.464609
18:00	12 Buckthorne Road, Corfton Park SE4, London, UK	IB	First floor damaged	-0.12766	51.507351
18:00	Morden Wharf Road, Greenwich SE10, London, UK	EB & IB	Firmin & Co. Sack and bag manufactures. Range of buildings  200x180 used as workshops severely damaged	-0.007492	51.480323
18:00	Tunnel Avenue, Greenwich, SE10, London, UK	EB & IB	Henry Froud, Haulage contractors, 120x40 severely damged	-0.007492	51.480323
18:00	Tunnel Avenue, Greenwich, SE10, London, UK	IB	Greenwich borough council, 4x3 asphalt paving damage	-0.007492	51.480323
18:00	58 Sydenham Road, Sydenham, SE26, London, UK	EB	Shop and house of 5 rooms damaged. 6 shops opposite and adjoining damaged by explosion. One Section officer AFS injured	-0.053944	51.428369
18:00	40 Batavia Road, New Cross SE14, London, UK	IB	back rooms 1st floor damaged and 4x3 roof damage	-0.040451	51.475426
18:00	Barnards Wharf 341, Rotherhithe Street, SE16, London, UK	IB	Timber Merchants, 200x200 two floor buildings, 2/3 content lost.	-0.045149	51.505227
18:00	Rotherhithe Street, SE16, London, UK	IB	Wharfingers. 300x100 1-3 floor buildings, contents severely damaged	-0.045149	51.505227
18:00	299 Rotherhithe Street, SE16, London, UK	IB	Timber Merchants, 500x400  and 4/5 of contents severely damaged	-0.045149	51.505227
18:00	Redriff School, Rotherhithe Street, SE16, London, UK	IB	range of buildings between 1-4 floors, covering 200x200 severely damaged	-0.045149	51.505227
18:00	1 Redriff Road, Rotherhithe, SE16, London, UK	EB	Many buildings in this thorough fare are severely damaged	-0.060088	51.498129
18:00	12 Jewel Street, Stepney E1, London, UK	IB	Front room on first floor and contents damaged. Ceiling slightly under by water	-0.052569	51.517155
18:00	128 Aylward Street, Stepney E1, London, UK	IB	Timber yard and offices of two floors and contents severely damaged	-0.047719	51.515838
18:00	Wapping Wall E1, London, UK	IB	Metropolitan Wharf-A building of 2 floors about 100 x 60 feet ( used as warehouse office and store) severely damaged	-0.052596	51.506774
18:00	 Sidney Street Stepney E1, London, UK	EB and IB	Minor fire and explosion damage	-0.052569	51.517155
18:00	Greenwich foot subway, London, UK	EB	London County Council. 60 ft of tunnel and lift shaft on north side damaged	-0.007492	51.480323
18:00	8 Maudesley House, Glengall Grove, Millwall, E14, London, UK	EB	Rest of street of 48 houses damaged by breakage	-0.045329	51.412317
18:00	8 Hibbert House, Glengall Grove, Millwall, E1, London, UK	EB	Rest of street of 48 houses damaged by breakage	-0.045329	51.412317
18:00	332 Hibbert House, Glengall Grove, Millwall, E1, London, UK	EB	Rest of street of 48 houses damaged by breakage	-0.045329	51.412317
18:01	39 Whitbread Road, 31-49 Whitbread Road, Brockley, SE4, London, UK	EB	10 private houses damaged	-0.037594	51.464609
